timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
700,DIFC100,1034.25,886,1033.25,531,1032.25,354,1035.57,886,1036.57,531,1037.57,354,1034.91
701,DIFC100,1034.66,519,1033.66,311,1032.66,207,1035.96,519,1036.96,311,1037.96,207,1035.31
702,DIFC100,1032.67,536,1031.67,321,1030.67,214,1033.93,536,1034.93,321,1035.93,214,1033.3
703,DIFC100,1031.86,921,1030.86,552,1029.86,368,1033.12,921,1034.12,552,1035.12,368,1032.49
704,DIFC100,1032.39,595,1031.39,357,1030.39,238,1033.63,595,1034.63,357,1035.63,238,1033.01
705,DIFC100,1025.09,440,1024.09,264,1023.0899999999999,176,1026.31,440,1027.31,264,1028.31,176,1025.7
706,DIFC100,1024.52,749,1023.52,449,1022.52,299,1025.88,749,1026.88,449,1027.88,299,1025.2
707,DIFC100,1031.13,812,1030.13,487,1029.13,324,1032.45,812,1033.45,487,1034.45,324,1031.79
708,DIFC100,1028.84,600,1027.84,360,1026.84,240,1030.26,600,1031.26,360,1032.26,240,1029.55
709,DIFC100,1029.07,781,1028.07,468,1027.07,312,1030.45,781,1031.45,468,1032.45,312,1029.76
710,DIFC100,1028.24,686,1027.24,411,1026.24,274,1029.58,686,1030.58,411,1031.58,274,1028.91
711,DIFC100,1034.38,907,1033.38,544,1032.38,363,1035.68,907,1036.68,544,1037.68,363,1035.03
712,DIFC100,1039.26,346,1038.26,207,1037.26,138,1040.66,346,1041.66,207,1042.66,138,1039.96
713,DIFC100,1039.74,482,1038.74,289,1037.74,193,1041.16,482,1042.16,289,1043.16,193,1040.45
714,DIFC100,1047.11,373,1046.11,223,1045.11,149,1048.49,373,1049.49,223,1050.49,149,1047.8
715,DIFC100,1045.14,813,1044.14,488,1043.14,325,1046.62,813,1047.62,488,1048.62,325,1045.88
716,DIFC100,1044.15,605,1043.15,363,1042.15,242,1045.59,605,1046.59,363,1047.59,242,1044.87
717,DIFC100,1041.58,564,1040.58,338,1039.58,225,1042.96,564,1043.96,338,1044.96,225,1042.27
718,DIFC100,1036.26,334,1035.26,200,1034.26,133,1037.62,334,1038.62,200,1039.62,133,1036.94
719,DIFC100,1037.46,766,1036.46,459,1035.46,306,1038.84,766,1039.84,459,1040.84,306,1038.15
720,DIFC100,1040.14,773,1039.14,463,1038.14,309,1041.48,773,1042.48,463,1043.48,309,1040.81
721,DIFC100,1046.37,449,1045.37,269,1044.37,179,1047.71,449,1048.71,269,1049.71,179,1047.04
722,DIFC100,1050.13,267,1049.13,160,1048.13,106,1051.55,267,1052.55,160,1053.55,106,1050.84
723,DIFC100,1054.89,453,1053.89,271,1052.89,181,1056.31,453,1057.31,271,1058.31,181,1055.6
724,DIFC100,1053.87,865,1052.87,519,1051.87,346,1055.31,865,1056.31,519,1057.31,346,1054.59
725,DIFC100,1049.35,405,1048.35,243,1047.35,162,1050.75,405,1051.75,243,1052.75,162,1050.05
726,DIFC100,1043.97,298,1042.97,178,1041.97,119,1045.37,298,1046.37,178,1047.37,119,1044.67
727,DIFC100,1041.42,795,1040.42,477,1039.42,318,1042.84,795,1043.84,477,1044.84,318,1042.13
728,DIFC100,1039.05,793,1038.05,476,1037.05,317,1040.43,793,1041.43,476,1042.43,317,1039.74
729,DIFC100,1040.86,420,1039.86,252,1038.86,168,1042.2,420,1043.2,252,1044.2,168,1041.53
730,DIFC100,1039.21,419,1038.21,251,1037.21,167,1040.53,419,1041.53,251,1042.53,167,1039.87
731,DIFC100,1040.01,900,1039.01,540,1038.01,360,1041.31,900,1042.31,540,1043.31,360,1040.66
732,DIFC100,1036.41,983,1035.41,589,1034.41,393,1037.69,983,1038.69,589,1039.69,393,1037.05
733,DIFC100,1032.39,405,1031.39,243,1030.39,162,1033.67,405,1034.67,243,1035.67,162,1033.03
734,DIFC100,1023.3,684,1022.3,410,1021.3,273,1024.6,684,1025.6,410,1026.6,273,1023.95
735,DIFC100,1019.92,457,1018.92,274,1017.92,182,1021.4,457,1022.4,274,1023.4,182,1020.66
736,DIFC100,1017.66,660,1016.66,396,1015.66,264,1019.1,660,1020.1,396,1021.1,264,1018.38
737,DIFC100,1028.32,553,1027.32,332,1026.32,221,1029.72,553,1030.72,332,1031.72,221,1029.02
738,DIFC100,1022.47,681,1021.47,408,1020.47,272,1024.09,681,1025.09,408,1026.09,272,1023.28
739,DIFC100,1026.69,737,1025.69,442,1024.69,295,1028.29,737,1029.29,442,1030.29,295,1027.49
740,DIFC100,1023.5,557,1022.5,334,1021.5,222,1025.08,557,1026.08,334,1027.08,222,1024.29
741,DIFC100,1023.85,250,1022.85,150,1021.85,100,1025.37,250,1026.37,150,1027.37,100,1024.61
742,DIFC100,1030.32,934,1029.32,560,1028.32,373,1031.78,934,1032.78,560,1033.78,373,1031.05
743,DIFC100,1033.62,569,1032.62,341,1031.62,227,1035.14,569,1036.14,341,1037.14,227,1034.38
744,DIFC100,1035.35,858,1034.35,514,1033.35,343,1036.83,858,1037.83,514,1038.83,343,1036.09
745,DIFC100,1042.26,318,1041.26,190,1040.26,127,1043.7,318,1044.7,190,1045.7,127,1042.98
746,DIFC100,1046.69,397,1045.69,238,1044.69,158,1048.21,397,1049.21,238,1050.21,158,1047.45
747,DIFC100,1048.11,742,1047.11,445,1046.11,296,1049.63,742,1050.63,445,1051.63,296,1048.87
748,DIFC100,1051.19,498,1050.19,298,1049.19,199,1052.65,498,1053.65,298,1054.65,199,1051.92
749,DIFC100,1043.67,650,1042.67,390,1041.67,260,1045.11,650,1046.11,390,1047.11,260,1044.39
750,DIFC100,1044.84,650,1043.84,390,1042.84,260,1046.34,650,1047.34,390,1048.34,260,1045.59
751,DIFC100,1037.82,855,1036.82,513,1035.82,342,1039.28,855,1040.28,513,1041.28,342,1038.55
752,DIFC100,1040.74,322,1039.74,193,1038.74,128,1042.24,322,1043.24,193,1044.24,128,1041.49
753,DIFC100,1048.9,481,1047.9,288,1046.9,192,1050.38,481,1051.38,288,1052.38,192,1049.64
754,DIFC100,1052.7,661,1051.7,396,1050.7,264,1054.28,661,1055.28,396,1056.28,264,1053.49
755,DIFC100,1051.19,376,1050.19,225,1049.19,150,1052.75,376,1053.75,225,1054.75,150,1051.97
756,DIFC100,1049.71,938,1048.71,562,1047.71,375,1051.21,938,1052.21,562,1053.21,375,1050.46
757,DIFC100,1043.24,405,1042.24,243,1041.24,162,1044.68,405,1045.68,243,1046.68,162,1043.96
758,DIFC100,1043.51,532,1042.51,319,1041.51,212,1044.99,532,1045.99,319,1046.99,212,1044.25
759,DIFC100,1045.48,585,1044.48,351,1043.48,234,1046.9,585,1047.9,351,1048.9,234,1046.19
760,DIFC100,1047.16,568,1046.16,341,1045.16,227,1048.54,568,1049.54,341,1050.54,227,1047.85
761,DIFC100,1046.83,786,1045.83,471,1044.83,314,1048.19,786,1049.19,471,1050.19,314,1047.51
762,DIFC100,1050.65,732,1049.65,439,1048.65,292,1051.97,732,1052.97,439,1053.97,292,1051.31
763,DIFC100,1053.45,487,1052.45,292,1051.45,195,1054.79,487,1055.79,292,1056.79,195,1054.12
764,DIFC100,1051.15,377,1050.15,226,1049.15,151,1052.49,377,1053.49,226,1054.49,151,1051.82
765,DIFC100,1047.98,804,1046.98,482,1045.98,321,1049.3,804,1050.3,482,1051.3,321,1048.64
766,DIFC100,1047.32,322,1046.32,193,1045.32,128,1048.62,322,1049.62,193,1050.62,128,1047.97
767,DIFC100,1043.04,987,1042.04,592,1041.04,394,1044.32,987,1045.32,592,1046.32,394,1043.68
768,DIFC100,1041.03,291,1040.03,174,1039.03,116,1042.33,291,1043.33,174,1044.33,116,1041.68
769,DIFC100,1042.94,640,1041.94,384,1040.94,256,1044.22,640,1045.22,384,1046.22,256,1043.58
770,DIFC100,1043.9,891,1042.9,534,1041.9,356,1045.16,891,1046.16,534,1047.16,356,1044.53
771,DIFC100,1041.3,727,1040.3,436,1039.3,291,1042.54,727,1043.54,436,1044.54,291,1041.92
772,DIFC100,1039.11,976,1038.11,585,1037.11,390,1040.35,976,1041.35,585,1042.35,390,1039.73
773,DIFC100,1039.59,958,1038.59,574,1037.59,383,1040.83,958,1041.83,574,1042.83,383,1040.21
774,DIFC100,1041.57,548,1040.57,328,1039.57,219,1042.79,548,1043.79,328,1044.79,219,1042.18
775,DIFC100,1038.45,480,1037.45,288,1036.45,192,1039.67,480,1040.67,288,1041.67,192,1039.06
776,DIFC100,1036.7,999,1035.7,599,1034.7,399,1037.92,999,1038.92,599,1039.92,399,1037.31
777,DIFC100,1036.13,867,1035.13,520,1034.13,347,1037.35,867,1038.35,520,1039.35,347,1036.74
778,DIFC100,1041.58,497,1040.58,298,1039.58,198,1042.78,497,1043.78,298,1044.78,198,1042.18
779,DIFC100,1039.27,930,1038.27,558,1037.27,372,1040.57,930,1041.57,558,1042.57,372,1039.92
780,DIFC100,1033.38,692,1032.38,415,1031.38,277,1034.66,692,1035.66,415,1036.66,277,1034.02
781,DIFC100,1033.22,681,1032.22,408,1031.22,272,1034.56,681,1035.56,408,1036.56,272,1033.89
782,DIFC100,1034.55,536,1033.55,321,1032.55,214,1035.85,536,1036.85,321,1037.85,214,1035.2
783,DIFC100,1034.79,991,1033.79,594,1032.79,396,1036.07,991,1037.07,594,1038.07,396,1035.43
784,DIFC100,1033.64,905,1032.64,543,1031.64,362,1034.9,905,1035.9,543,1036.9,362,1034.27
785,DIFC100,1026.3,770,1025.3,462,1024.3,308,1027.54,770,1028.54,462,1029.54,308,1026.92
786,DIFC100,1023.05,507,1022.05,304,1021.05,202,1024.41,507,1025.41,304,1026.41,202,1023.73
787,DIFC100,1028.07,615,1027.07,369,1026.07,246,1029.43,615,1030.43,369,1031.43,246,1028.75
788,DIFC100,1029.47,747,1028.47,448,1027.47,298,1030.87,747,1031.87,448,1032.87,298,1030.17
789,DIFC100,1030.12,498,1029.12,299,1028.12,199,1031.48,498,1032.48,299,1033.48,199,1030.8
790,DIFC100,1027.53,694,1026.53,416,1025.53,277,1028.85,694,1029.85,416,1030.85,277,1028.19
791,DIFC100,1025.91,931,1024.91,558,1023.9100000000001,372,1027.21,931,1028.21,558,1029.21,372,1026.56
792,DIFC100,1024.46,975,1023.46,585,1022.46,390,1025.74,975,1026.74,585,1027.74,390,1025.1
793,DIFC100,1035.78,749,1034.78,449,1033.78,299,1037.04,749,1038.04,449,1039.04,299,1036.41
794,DIFC100,1025.5,634,1024.5,380,1023.5,253,1027.08,634,1028.08,380,1029.08,253,1026.29
795,DIFC100,1020.7,871,1019.7,522,1018.7,348,1022.4,871,1023.4,522,1024.4,348,1021.55
796,DIFC100,1006.91,641,1005.91,384,1004.91,256,1008.57,641,1009.57,384,1010.57,256,1007.74
797,DIFC100,1004.65,293,1003.65,175,1002.65,117,1006.55,293,1007.55,175,1008.55,117,1005.6
798,DIFC100,997.2,908,996.2,544,995.2,363,999.0,908,1000.0,544,1001.0,363,998.1
799,DIFC100,991.69,350,990.69,210,989.69,140,993.49,350,994.49,210,995.49,140,992.59
800,DIFC100,988.84,494,987.84,296,986.84,197,990.58,494,991.58,296,992.58,197,989.71
801,DIFC100,987.56,619,986.56,371,985.56,247,989.24,619,990.24,371,991.24,247,988.4
802,DIFC100,979.93,868,978.93,520,977.93,347,981.53,868,982.53,520,983.53,347,980.73
803,DIFC100,975.56,681,974.56,408,973.56,272,977.2,681,978.2,408,979.2,272,976.38
804,DIFC100,979.46,290,978.46,174,977.46,116,981.08,290,982.08,174,983.08,116,980.27
805,DIFC100,971.73,605,970.73,363,969.73,242,973.29,605,974.29,363,975.29,242,972.51
