timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
700,DUNE_ENERGY,95.62,148,94.62,88,93.62,59,95.81,148,96.81,88,97.81,59,95.75
701,DUNE_ENERGY,95.13,98,94.13,59,93.13,39,95.36,98,96.36,59,97.36,39,95.29
702,DUNE_ENERGY,94.64,90,93.64,54,92.64,36,95.05,90,96.05,54,97.05,36,94.85
703,DUNE_ENERGY,94.06,67,93.06,40,92.06,26,94.4,67,95.4,40,96.4,26,94.2
704,DUNE_ENERGY,93.79,56,92.79,33,91.79,22,94.08,56,95.08,33,96.08,22,93.94
705,DUNE_ENERGY,94.76,83,93.76,50,92.76,33,95.09,83,96.09,50,97.09,33,94.96
706,DUNE_ENERGY,95.77,147,94.77,88,93.77,58,96.19,147,97.19,88,98.19,58,95.97
707,DUNE_ENERGY,96.16,149,95.16,89,94.16,59,96.49,149,97.49,89,98.49,59,96.33
708,DUNE_ENERGY,96.69,128,95.69,76,94.69,51,96.99,128,97.99,76,98.99,51,96.79
709,DUNE_ENERGY,96.75,78,95.75,47,94.75,31,96.9,78,97.9,47,98.9,31,96.81
710,DUNE_ENERGY,97.57,72,96.57,43,95.57,28,97.76,72,98.76,43,99.76,28,97.62
711,DUNE_ENERGY,98.39,123,97.39,73,96.39,49,98.67,123,99.67,73,100.67,49,98.48
712,DUNE_ENERGY,98.6,69,97.6,41,96.6,27,98.83,69,99.83,41,100.83,27,98.71
713,DUNE_ENERGY,99.32,52,98.32,31,97.32,20,99.65,52,100.65,31,101.65,20,99.49
714,DUNE_ENERGY,99.86,127,98.86,76,97.86,50,100.18,127,101.18,76,102.18,50,100.01
715,DUNE_ENERGY,99.97,83,98.97,50,97.97,33,100.28,83,101.28,50,102.28,33,100.13
716,DUNE_ENERGY,100.36,49,99.36,29,98.36,19,100.78,49,101.78,29,102.78,19,100.65
717,DUNE_ENERGY,100.4,143,99.4,85,98.4,57,100.72,143,101.72,85,102.72,57,100.55
718,DUNE_ENERGY,100.61,139,99.61,83,98.61,55,100.9,139,101.9,83,102.9,55,100.73
719,DUNE_ENERGY,100.14,122,99.14,73,98.14,48,100.31,122,101.31,73,102.31,48,100.25
720,DUNE_ENERGY,100.21,123,99.21,73,98.21,49,100.5,123,101.5,73,102.5,49,100.36
721,DUNE_ENERGY,99.99,67,98.99,40,97.99,26,100.31,67,101.31,40,102.31,26,100.12
722,DUNE_ENERGY,99.5,150,98.5,90,97.5,60,99.76,150,100.76,90,101.76,60,99.67
723,DUNE_ENERGY,99.85,57,98.85,34,97.85,23,100.23,57,101.23,34,102.23,23,99.98
724,DUNE_ENERGY,99.58,80,98.58,48,97.58,32,99.85,80,100.85,48,101.85,32,99.8
725,DUNE_ENERGY,100.5,122,99.5,73,98.5,49,100.75,122,101.75,73,102.75,49,100.64
726,DUNE_ENERGY,100.93,139,99.93,83,98.93,55,101.14,139,102.14,83,103.14,55,101.05
727,DUNE_ENERGY,100.14,148,99.14,88,98.14,59,100.43,148,101.43,88,102.43,59,100.28
728,DUNE_ENERGY,99.6,135,98.6,81,97.6,54,99.88,135,100.88,81,101.88,54,99.79
729,DUNE_ENERGY,99.31,140,98.31,84,97.31,56,99.72,140,100.72,84,101.72,56,99.52
730,DUNE_ENERGY,100.34,103,99.34,62,98.34,41,100.69,103,101.69,62,102.69,41,100.56
731,DUNE_ENERGY,100.17,41,99.17,24,98.17,16,100.47,41,101.47,24,102.47,16,100.33
732,DUNE_ENERGY,101.33,112,100.33,67,99.33,45,101.71,112,102.71,67,103.71,45,101.49
733,DUNE_ENERGY,101.84,62,100.84,37,99.84,24,102.23,62,103.23,37,104.23,24,102.05
734,DUNE_ENERGY,101.54,48,100.54,29,99.54,19,101.96,48,102.96,29,103.96,19,101.81
735,DUNE_ENERGY,101.24,47,100.24,28,99.24,19,101.51,47,102.51,28,103.51,19,101.36
736,DUNE_ENERGY,101.45,138,100.45,82,99.45,55,101.75,138,102.75,82,103.75,55,101.62
737,DUNE_ENERGY,102.0,50,101.0,30,100.0,20,102.41,50,103.41,30,104.41,20,102.22
738,DUNE_ENERGY,101.17,50,100.17,30,99.17,20,101.53,50,102.53,30,103.53,20,101.37
739,DUNE_ENERGY,101.09,143,100.09,85,99.09,57,101.42,143,102.42,85,103.42,57,101.27
740,DUNE_ENERGY,101.15,123,100.15,73,99.15,49,101.34,123,102.34,73,103.34,49,101.26
741,DUNE_ENERGY,100.28,129,99.28,77,98.28,51,100.57,129,101.57,77,102.57,51,100.44
742,DUNE_ENERGY,98.73,95,97.73,57,96.73,38,98.98,95,99.98,57,100.98,38,98.83
