timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
700,NEXUS_AI,339.19,249,338.19,149,337.19,99,339.69,249,340.69,149,341.69,99,339.44
701,NEXUS_AI,338.25,289,337.25,173,336.25,115,338.75,289,339.75,173,340.75,115,338.5
702,NEXUS_AI,336.87,176,335.87,105,334.87,70,337.37,176,338.37,105,339.37,70,337.12
703,NEXUS_AI,334.61,270,333.61,162,332.61,108,335.11,270,336.11,162,337.11,108,334.86
704,NEXUS_AI,331.15,162,330.15,97,329.15,65,331.65,162,332.65,97,333.65,65,331.4
705,NEXUS_AI,329.58,170,328.58,102,327.58,68,330.08,170,331.08,102,332.08,68,329.83
706,NEXUS_AI,329.66,248,328.66,149,327.66,99,330.16,248,331.16,149,332.16,99,329.91
707,NEXUS_AI,328.67,166,327.67,99,326.67,66,329.17,166,330.17,99,331.17,66,328.92
708,NEXUS_AI,329.0,195,328.0,117,327.0,78,329.5,195,330.5,117,331.5,78,329.25
709,NEXUS_AI,326.73,104,325.73,62,324.73,41,327.23,104,328.23,62,329.23,41,326.98
710,NEXUS_AI,325.76,277,324.76,166,323.76,110,326.26,277,327.26,166,328.26,110,326.01
711,NEXUS_AI,324.15,113,323.15,68,322.15,45,324.65,113,325.65,68,326.65,45,324.4
712,NEXUS_AI,320.19,112,319.19,67,318.19,44,320.69,112,321.69,67,322.69,44,320.44
713,NEXUS_AI,315.93,263,314.93,158,313.93,105,316.43,263,317.43,158,318.43,105,316.18
714,NEXUS_AI,314.01,124,313.01,74,312.01,49,314.51,124,315.51,74,316.51,49,314.26
715,NEXUS_AI,311.25,239,310.25,143,309.25,95,311.75,239,312.75,143,313.75,95,311.5
716,NEXUS_AI,310.1,177,309.1,106,308.1,70,310.6,177,311.6,106,312.6,70,310.35
717,NEXUS_AI,306.48,276,305.48,165,304.48,110,306.98,276,307.98,165,308.98,110,306.73
718,NEXUS_AI,302.52,103,301.52,61,300.52,41,303.02,103,304.02,61,305.02,41,302.77
719,NEXUS_AI,299.45,195,298.45,117,297.45,78,299.95,195,300.95,117,301.95,78,299.7
720,NEXUS_AI,298.08,155,297.08,93,296.08,62,298.58,155,299.58,93,300.58,62,298.33
721,NEXUS_AI,295.74,148,294.74,88,293.74,59,296.24,148,297.24,88,298.24,59,295.99
722,NEXUS_AI,294.45,236,293.45,141,292.45,94,294.95,236,295.95,141,296.95,94,294.7
723,NEXUS_AI,291.17,129,290.17,77,289.17,51,291.67,129,292.67,77,293.67,51,291.42
724,NEXUS_AI,291.14,104,290.14,62,289.14,41,291.64,104,292.64,62,293.64,41,291.39
725,NEXUS_AI,290.17,276,289.17,165,288.17,110,290.67,276,291.67,165,292.67,110,290.42
726,NEXUS_AI,284.85,233,283.85,140,282.85,93,285.35,233,286.35,140,287.35,93,285.1
727,NEXUS_AI,284.11,177,283.11,106,282.11,71,284.61,177,285.61,106,286.61,71,284.36
728,NEXUS_AI,282.58,277,281.58,166,280.58,111,283.08,277,284.08,166,285.08,111,282.83
729,NEXUS_AI,281.0,178,280.0,107,279.0,71,281.5,178,282.5,107,283.5,71,281.25
730,NEXUS_AI,280.26,295,279.26,177,278.26,118,280.76,295,281.76,177,282.76,118,280.51
731,NEXUS_AI,278.11,298,277.11,178,276.11,119,278.61,298,279.61,178,280.61,119,278.36
732,NEXUS_AI,276.66,268,275.66,161,274.66,107,277.16,268,278.16,161,279.16,107,276.91
733,NEXUS_AI,274.81,220,273.81,132,272.81,88,275.31,220,276.31,132,277.31,88,275.06
734,NEXUS_AI,273.79,102,272.79,61,271.79,41,274.29,102,275.29,61,276.29,41,274.04
735,NEXUS_AI,272.06,254,271.06,152,270.06,101,272.56,254,273.56,152,274.56,101,272.31
736,NEXUS_AI,270.62,107,269.62,64,268.62,42,271.12,107,272.12,64,273.12,42,270.87
737,NEXUS_AI,270.32,291,269.32,174,268.32,116,270.82,291,271.82,174,272.82,116,270.57
738,NEXUS_AI,267.91,228,266.91,136,265.91,91,268.41,228,269.41,136,270.41,91,268.16
739,NEXUS_AI,266.49,245,265.49,147,264.49,98,266.99,245,267.99,147,268.99,98,266.74
740,NEXUS_AI,264.31,155,263.31,93,262.31,62,264.81,155,265.81,93,266.81,62,264.56
741,NEXUS_AI,262.22,143,261.22,86,260.22,57,262.72,143,263.72,86,264.72,57,262.47
742,NEXUS_AI,259.8,229,258.8,137,257.8,91,260.3,229,261.3,137,262.3,91,260.05
743,NEXUS_AI,255.1,250,254.1,150,253.1,100,255.6,250,256.6,150,257.6,100,255.35
744,NEXUS_AI,253.83,190,252.83,114,251.83,76,254.33,190,255.33,114,256.33000000000004,76,254.08
745,NEXUS_AI,251.63,231,250.63,138,249.63,92,252.13,231,253.13,138,254.13,92,251.88
746,NEXUS_AI,249.71,219,248.71,131,247.71,87,250.21,219,251.21,131,252.21,87,249.96
747,NEXUS_AI,246.67,226,245.67,135,244.67,90,247.17,226,248.17,135,249.17,90,246.92
748,NEXUS_AI,244.35,183,243.35,110,242.35,73,244.85,183,245.85,110,246.85,73,244.6
749,NEXUS_AI,242.22,172,241.22,103,240.22,69,242.72,172,243.72,103,244.72,69,242.47
750,NEXUS_AI,238.98,213,237.98,128,236.98,85,239.48,213,240.48,128,241.48,85,239.23
751,NEXUS_AI,240.01,174,239.01,104,238.01,69,240.51,174,241.51,104,242.51,69,240.26
752,NEXUS_AI,240.1,221,239.1,132,238.1,88,240.6,221,241.6,132,242.6,88,240.35
753,NEXUS_AI,239.07,272,238.07,163,237.07,109,239.57,272,240.57,163,241.57,109,239.32
754,NEXUS_AI,235.91,273,234.91,163,233.91,109,236.41,273,237.41,163,238.41,109,236.16
755,NEXUS_AI,234.8,201,233.8,120,232.8,80,235.3,201,236.3,120,237.3,80,235.05
756,NEXUS_AI,234.75,143,233.75,85,232.75,57,235.25,143,236.25,85,237.25,57,235.0
757,NEXUS_AI,232.47,150,231.47,90,230.47,60,232.97,150,233.97,90,234.97,60,232.72
758,NEXUS_AI,231.15,159,230.15,95,229.15,63,231.65,159,232.65,95,233.65,63,231.4
759,NEXUS_AI,228.14,171,227.14,102,226.14,68,228.64,171,229.64,102,230.64,68,228.39
760,NEXUS_AI,226.22,202,225.22,121,224.22,80,226.72,202,227.72,121,228.72,80,226.47
761,NEXUS_AI,222.07,254,221.07,152,220.07,101,222.57,254,223.57,152,224.57,101,222.32
762,NEXUS_AI,219.39,216,218.39,129,217.39,86,219.89,216,220.89,129,221.89,86,219.64
763,NEXUS_AI,217.35,225,216.35,135,215.35,90,217.85,225,218.85,135,219.85,90,217.6
764,NEXUS_AI,215.62,288,214.62,173,213.62,115,216.12,288,217.12,173,218.12,115,215.87
765,NEXUS_AI,213.52,227,212.52,136,211.52,91,214.02,227,215.02,136,216.02,91,213.77
766,NEXUS_AI,210.18,139,209.18,83,208.18,55,210.68,139,211.68,83,212.68,55,210.43
767,NEXUS_AI,209.39,124,208.39,74,207.39,49,209.89,124,210.89,74,211.89,49,209.64
768,NEXUS_AI,206.01,219,205.01,131,204.01,87,206.51,219,207.51,131,208.51,87,206.26
769,NEXUS_AI,203.83,227,202.83,136,201.83,90,204.33,227,205.33,136,206.33,90,204.08
770,NEXUS_AI,199.73,238,198.73,142,197.73,95,200.23,238,201.23,142,202.23,95,199.98
771,NEXUS_AI,197.15,295,196.15,177,195.15,118,197.65,295,198.65,177,199.65,118,197.4
772,NEXUS_AI,195.59,215,194.59,129,193.59,86,196.09,215,197.09,129,198.09,86,195.84
