timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
700,ORBIT_LOGISTICS,210.27,160,209.27,96,208.27,64,210.47,160,211.47,96,212.47,64,210.37
701,ORBIT_LOGISTICS,209.77,351,208.77,210,207.77,140,209.97,351,210.97,210,211.97,140,209.87
702,ORBIT_LOGISTICS,208.31,421,207.31,252,206.31,168,208.51,421,209.51,252,210.51,168,208.41
703,ORBIT_LOGISTICS,207.05,400,206.05,240,205.05,160,207.25,400,208.25,240,209.25,160,207.15
704,ORBIT_LOGISTICS,205.78,425,204.78,255,203.78,170,205.98,425,206.98,255,207.98,170,205.88
705,ORBIT_LOGISTICS,205.48,213,204.48,128,203.48,85,205.68,213,206.68,128,207.68,85,205.58
706,ORBIT_LOGISTICS,205.98,210,204.98,126,203.98,84,206.18,210,207.18,126,208.18,84,206.08
707,ORBIT_LOGISTICS,205.61,242,204.61,145,203.61,97,205.81,242,206.81,145,207.81,97,205.71
708,ORBIT_LOGISTICS,206.37,152,205.37,91,204.37,61,206.57,152,207.57,91,208.57,61,206.47
709,ORBIT_LOGISTICS,204.92,434,203.92,260,202.92,173,205.12,434,206.12,260,207.12,173,205.02
710,ORBIT_LOGISTICS,205.05,170,204.05,102,203.05,68,205.25,170,206.25,102,207.25,68,205.15
711,ORBIT_LOGISTICS,205.06,215,204.06,129,203.06,86,205.26,215,206.26,129,207.26,86,205.16
712,ORBIT_LOGISTICS,203.1,194,202.1,116,201.1,77,203.3,194,204.3,116,205.3,77,203.2
713,ORBIT_LOGISTICS,201.78,437,200.78,262,199.78,175,201.98,437,202.98,262,203.98,175,201.88
714,ORBIT_LOGISTICS,201.35,193,200.35,115,199.35,77,201.55,193,202.55,115,203.55,77,201.45
715,ORBIT_LOGISTICS,200.52,213,199.52,128,198.52,85,200.72,213,201.72,128,202.72,85,200.62
716,ORBIT_LOGISTICS,199.8,428,198.8,257,197.8,171,200.0,428,201.0,257,202.0,171,199.9
717,ORBIT_LOGISTICS,198.29,237,197.29,142,196.29,95,198.49,237,199.49,142,200.49,95,198.39
718,ORBIT_LOGISTICS,196.2,150,195.2,90,194.2,60,196.4,150,197.4,90,198.4,60,196.3
719,ORBIT_LOGISTICS,195.18,277,194.18,166,193.18,110,195.38,277,196.38,166,197.38,110,195.28
720,ORBIT_LOGISTICS,194.25,415,193.25,249,192.25,166,194.45,415,195.45,249,196.45,166,194.35
721,ORBIT_LOGISTICS,193.67,300,192.67,180,191.67,120,193.87,300,194.87,180,195.87,120,193.77
