timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,DESERT_HYDROGEN,50.42,48,49.42,28,48.42,19,51.22,48,52.22,28,53.22,19,50.82
1,DESERT_HYDROGEN,52.08,79,51.08,47,50.08,31,52.88,79,53.88,47,54.88,31,52.48
2,DESERT_HYDROGEN,53.4,63,52.4,38,51.4,25,54.2,63,55.2,38,56.2,25,53.8
3,DESERT_HYDROGEN,55.21,61,54.21,36,53.21,24,56.01,61,57.01,36,58.01,24,55.61
4,DESERT_HYDROGEN,54.82,88,53.82,53,52.82,35,55.62,88,56.62,53,57.62,35,55.22
5,DESERT_HYDROGEN,55.4,72,54.4,43,53.4,28,56.2,72,57.2,43,58.2,28,55.8
6,DESERT_HYDROGEN,57.9,34,56.9,20,55.9,13,58.7,34,59.7,20,60.7,13,58.3
7,DESERT_HYDROGEN,56.79,25,55.79,15,54.79,10,57.59,25,58.59,15,59.59,10,57.19
8,DESERT_HYDROGEN,59.48,43,58.48,26,57.48,17,60.28,43,61.28,26,62.28,17,59.88
9,DESERT_HYDROGEN,56.33,65,55.33,39,54.33,26,57.13,65,58.13,39,59.13,26,56.73
10,DESERT_HYDROGEN,57.31,86,56.31,51,55.31,34,58.11,86,59.11,51,60.11,34,57.71
11,DESERT_HYDROGEN,58.63,33,57.63,20,56.63,13,59.43,33,60.43,20,61.43,13,59.03
12,DESERT_HYDROGEN,59.84,60,58.84,36,57.84,24,60.64,60,61.64,36,62.64,24,60.24
13,DESERT_HYDROGEN,60.88,43,59.88,26,58.88,17,61.68,43,62.68,26,63.68,17,61.28
14,DESERT_HYDROGEN,64.99,48,63.989999999999995,28,62.989999999999995,19,65.79,48,66.79,28,67.79,19,65.39
15,DESERT_HYDROGEN,67.62,74,66.62,44,65.62,29,68.42,74,69.42,44,70.42,29,68.02
16,DESERT_HYDROGEN,66.58,86,65.58,51,64.58,34,67.38,86,68.38,51,69.38,34,66.98
