timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,DIFC100,1001.75,551,1000.75,330,999.75,220,1003.25,551,1004.25,330,1005.25,220,1002.5
1,DIFC100,1001.88,987,1000.88,592,999.88,394,1003.34,987,1004.34,592,1005.34,394,1002.61
2,DIFC100,1007.66,785,1006.66,471,1005.66,314,1009.06,785,1010.06,471,1011.06,314,1008.36
3,DIFC100,1004.28,580,1003.28,348,1002.28,232,1005.72,580,1006.72,348,1007.72,232,1005.0
4,DIFC100,1001.01,915,1000.01,549,999.01,366,1002.43,915,1003.43,549,1004.43,366,1001.72
5,DIFC100,998.23,419,997.23,251,996.23,167,999.63,419,1000.63,251,1001.63,167,998.93
6,DIFC100,1001.46,459,1000.46,275,999.46,183,1002.84,459,1003.84,275,1004.84,183,1002.15
7,DIFC100,1005.32,878,1004.32,527,1003.32,351,1006.68,878,1007.68,527,1008.68,351,1006.0
8,DIFC100,1009.04,869,1008.04,521,1007.04,347,1010.4,869,1011.4,521,1012.4,347,1009.72
9,DIFC100,1007.76,507,1006.76,304,1005.76,202,1009.12,507,1010.12,304,1011.12,202,1008.44
10,DIFC100,1005.07,588,1004.07,352,1003.07,235,1006.41,588,1007.41,352,1008.41,235,1005.74
11,DIFC100,1005.47,987,1004.47,592,1003.47,394,1006.79,987,1007.79,592,1008.79,394,1006.13
12,DIFC100,1013.6,418,1012.6,250,1011.6,167,1014.88,418,1015.88,250,1016.88,167,1014.24
13,DIFC100,1013.13,786,1012.13,471,1011.13,314,1014.57,786,1015.57,471,1016.57,314,1013.85
14,DIFC100,1011.95,575,1010.95,345,1009.95,230,1013.35,575,1014.35,345,1015.35,230,1012.65
15,DIFC100,1007.4,676,1006.4,405,1005.4,270,1008.76,676,1009.76,405,1010.76,270,1008.08
16,DIFC100,1009.31,255,1008.31,153,1007.31,102,1010.69,255,1011.69,153,1012.69,102,1010.0
17,DIFC100,1013.25,569,1012.25,341,1011.25,227,1014.59,569,1015.59,341,1016.59,227,1013.92
18,DIFC100,1012.3,346,1011.3,207,1010.3,138,1013.66,346,1014.66,207,1015.66,138,1012.98
19,DIFC100,1009.79,800,1008.79,480,1007.79,320,1011.11,800,1012.11,480,1013.11,320,1010.45
20,DIFC100,1008.11,889,1007.11,533,1006.11,355,1009.41,889,1010.41,533,1011.41,355,1008.76
21,DIFC100,1008.44,729,1007.44,437,1006.44,291,1009.72,729,1010.72,437,1011.72,291,1009.08
22,DIFC100,1007.32,901,1006.32,540,1005.32,360,1008.58,901,1009.58,540,1010.58,360,1007.95
23,DIFC100,1006.58,822,1005.58,493,1004.58,329,1007.82,822,1008.82,493,1009.82,329,1007.2
24,DIFC100,1008.64,264,1007.64,158,1006.64,105,1009.86,264,1010.86,158,1011.86,105,1009.25
25,DIFC100,1006.64,447,1005.64,268,1004.64,178,1007.86,447,1008.86,268,1009.86,178,1007.25
26,DIFC100,1005.69,686,1004.69,411,1003.69,274,1006.91,686,1007.91,411,1008.91,274,1006.3
27,DIFC100,1011.12,848,1010.12,508,1009.12,339,1012.32,848,1013.32,508,1014.32,339,1011.72
