timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,DUNE_ENERGY,99.72,134,98.72,80,97.72,53,100.07,134,101.07,80,102.07,53,99.88
1,DUNE_ENERGY,100.56,44,99.56,26,98.56,17,100.75,44,101.75,26,102.75,17,100.66
2,DUNE_ENERGY,100.24,104,99.24,62,98.24,41,100.52,104,101.52,62,102.52,41,100.36
3,DUNE_ENERGY,99.51,93,98.51,56,97.51,37,99.83,93,100.83,56,101.83,37,99.7
4,DUNE_ENERGY,98.66,143,97.66,86,96.66,57,99.02,143,100.02,86,101.02,57,98.8
5,DUNE_ENERGY,99.35,75,98.35,45,97.35,30,99.74,75,100.74,45,101.74,30,99.56
6,DUNE_ENERGY,100.03,83,99.03,49,98.03,33,100.36,83,101.36,49,102.36,33,100.11
7,DUNE_ENERGY,100.44,73,99.44,44,98.44,29,100.68,73,101.68,44,102.68,29,100.56
8,DUNE_ENERGY,100.8,108,99.8,65,98.8,43,100.99,108,101.99,65,102.99,43,100.92
9,DUNE_ENERGY,101.72,120,100.72,72,99.72,48,101.98,120,102.98,72,103.98,48,101.79
10,DUNE_ENERGY,101.65,113,100.65,68,99.65,45,101.95,113,102.95,68,103.95,45,101.87
11,DUNE_ENERGY,101.65,50,100.65,30,99.65,20,101.88,50,102.88,30,103.88,20,101.78
12,DUNE_ENERGY,100.65,88,99.65,53,98.65,35,100.81,88,101.81,53,102.81,35,100.74
13,DUNE_ENERGY,100.44,66,99.44,39,98.44,26,100.64,66,101.64,39,102.64,26,100.52
14,DUNE_ENERGY,100.7,127,99.7,76,98.7,50,100.97,127,101.97,76,102.97,50,100.89
15,DUNE_ENERGY,100.11,60,99.11,36,98.11,24,100.5,60,101.5,36,102.5,24,100.31
16,DUNE_ENERGY,100.93,121,99.93,72,98.93,48,101.28,121,102.28,72,103.28,48,101.12
17,DUNE_ENERGY,100.68,47,99.68,28,98.68,18,100.97,47,101.97,28,102.97,18,100.86
18,DUNE_ENERGY,101.54,80,100.54,48,99.54,32,101.85,80,102.85,48,103.85,32,101.69
19,DUNE_ENERGY,101.21,131,100.21,78,99.21,52,101.56,131,102.56,78,103.56,52,101.35
20,DUNE_ENERGY,100.65,90,99.65,54,98.65,36,101.05,90,102.05,54,103.05,36,100.83
21,DUNE_ENERGY,101.19,135,100.19,81,99.19,54,101.56,135,102.56,81,103.56,54,101.39
22,DUNE_ENERGY,101.33,114,100.33,68,99.33,45,101.66,114,102.66,68,103.66,45,101.52
23,DUNE_ENERGY,100.54,57,99.54,34,98.54,23,100.7,57,101.7,34,102.7,23,100.66
24,DUNE_ENERGY,102.0,46,101.0,27,100.0,18,102.32,46,103.32,27,104.32,18,102.17
25,DUNE_ENERGY,102.03,116,101.03,69,100.03,46,102.39,116,103.39,69,104.39,46,102.2
26,DUNE_ENERGY,102.67,99,101.67,59,100.67,39,102.94,99,103.94,59,104.94,39,102.77
27,DUNE_ENERGY,100.79,132,99.79,79,98.79,52,101.11,132,102.11,79,103.11,52,100.96
28,DUNE_ENERGY,100.73,136,99.73,81,98.73,54,101.02,136,102.02,81,103.02,54,100.8
29,DUNE_ENERGY,100.54,98,99.54,58,98.54,39,100.81,98,101.81,58,102.81,39,100.62
30,DUNE_ENERGY,100.9,132,99.9,79,98.9,52,101.12,132,102.12,79,103.12,52,100.97
31,DUNE_ENERGY,100.73,120,99.73,72,98.73,48,101.02,120,102.02,72,103.02,48,100.82
32,DUNE_ENERGY,101.76,117,100.76,70,99.76,47,102.15,117,103.15,70,104.15,47,101.93
33,DUNE_ENERGY,101.84,107,100.84,64,99.84,43,102.16,107,103.16,64,104.16,43,101.94
34,DUNE_ENERGY,102.94,102,101.94,61,100.94,41,103.15,102,104.15,61,105.15,41,103.03
35,DUNE_ENERGY,104.0,79,103.0,47,102.0,31,104.36,79,105.36,47,106.36,31,104.14
36,DUNE_ENERGY,102.86,112,101.86,67,100.86,45,103.2,112,104.2,67,105.2,45,103.01
37,DUNE_ENERGY,102.83,137,101.83,82,100.83,54,103.12,137,104.12,82,105.12,54,102.99
38,DUNE_ENERGY,102.57,124,101.57,74,100.57,49,102.89,124,103.89,74,104.89,49,102.75
39,DUNE_ENERGY,101.63,94,100.63,56,99.63,37,101.91,94,102.91,56,103.91,37,101.77
40,DUNE_ENERGY,102.78,136,101.78,81,100.78,54,102.94,136,103.94,81,104.94,54,102.82
41,DUNE_ENERGY,102.35,123,101.35,73,100.35,49,102.62,123,103.62,73,104.62,49,102.53
42,DUNE_ENERGY,103.89,97,102.89,58,101.89,39,104.35,97,105.35,58,106.35,39,104.12
43,DUNE_ENERGY,103.95,69,102.95,41,101.95,27,104.19,69,105.19,41,106.19,27,104.08
44,DUNE_ENERGY,104.26,130,103.26,78,102.26,52,104.57,130,105.57,78,106.57,52,104.42
45,DUNE_ENERGY,103.58,49,102.58,29,101.58,19,103.99,49,104.99,29,105.99,19,103.76
46,DUNE_ENERGY,102.58,102,101.58,61,100.58,40,102.92,102,103.92,61,104.92,40,102.77
47,DUNE_ENERGY,102.48,100,101.48,60,100.48,40,102.81,100,103.81,60,104.81,40,102.6
48,DUNE_ENERGY,101.92,92,100.92,55,99.92,36,102.28,92,103.28,55,104.28,36,102.07
49,DUNE_ENERGY,101.86,99,100.86,59,99.86,39,102.09,99,103.09,59,104.09,39,101.99
50,DUNE_ENERGY,101.94,123,100.94,74,99.94,49,102.22,123,103.22,74,104.22,49,102.08
51,DUNE_ENERGY,102.01,150,101.01,90,100.01,60,102.27,150,103.27,90,104.27,60,102.16
52,DUNE_ENERGY,102.17,108,101.17,65,100.17,43,102.46,108,103.46,65,104.46,43,102.29
53,DUNE_ENERGY,101.36,49,100.36,29,99.36,19,101.63,49,102.63,29,103.63,19,101.49
54,DUNE_ENERGY,101.56,110,100.56,66,99.56,44,101.98,110,102.98,66,103.98,44,101.8
55,DUNE_ENERGY,102.24,51,101.24,30,100.24,20,102.49,51,103.49,30,104.49,20,102.35
56,DUNE_ENERGY,102.06,61,101.06,36,100.06,24,102.23,61,103.23,36,104.23,24,102.12
57,DUNE_ENERGY,101.24,61,100.24,36,99.24,24,101.58,61,102.58,36,103.58,24,101.36
58,DUNE_ENERGY,100.0,73,99.0,44,98.0,29,100.51,73,101.51,44,102.51,29,100.26
59,DUNE_ENERGY,100.98,133,99.98,80,98.98,53,101.3,133,102.3,80,103.3,53,101.17
60,DUNE_ENERGY,101.87,131,100.87,78,99.87,52,102.11,131,103.11,78,104.11,52,101.96
61,DUNE_ENERGY,101.25,134,100.25,80,99.25,53,101.55,134,102.55,80,103.55,53,101.4
62,DUNE_ENERGY,101.24,47,100.24,28,99.24,18,101.6,47,102.6,28,103.6,18,101.47
63,DUNE_ENERGY,101.86,47,100.86,28,99.86,18,102.19,47,103.19,28,104.19,18,101.99
64,DUNE_ENERGY,101.32,63,100.32,38,99.32,25,101.6,63,102.6,38,103.6,25,101.45
65,DUNE_ENERGY,101.38,112,100.38,67,99.38,45,101.7,112,102.7,67,103.7,45,101.52
66,DUNE_ENERGY,100.77,119,99.77,71,98.77,47,101.14,119,102.14,71,103.14,47,100.92
