timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,NEXUS_AI,199.8,279,198.8,167,197.8,111,200.3,279,201.3,167,202.3,111,200.05
1,NEXUS_AI,198.92,282,197.92,169,196.92,112,199.42,282,200.42,169,201.42,112,199.17
2,NEXUS_AI,199.63,174,198.63,104,197.63,69,200.13,174,201.13,104,202.13,69,199.88
3,NEXUS_AI,201.49,133,200.49,80,199.49,53,201.99,133,202.99,80,203.99,53,201.74
4,NEXUS_AI,201.45,129,200.45,77,199.45,51,201.95,129,202.95,77,203.95,51,201.7
5,NEXUS_AI,200.82,249,199.82,149,198.82,99,201.32,249,202.32,149,203.32,99,201.07
6,NEXUS_AI,200.82,236,199.82,141,198.82,94,201.32,236,202.32,141,203.32,94,201.07
7,NEXUS_AI,199.6,208,198.6,124,197.6,83,200.1,208,201.1,124,202.1,83,199.85
8,NEXUS_AI,200.84,271,199.84,162,198.84,108,201.34,271,202.34,162,203.34,108,201.09
9,NEXUS_AI,201.55,292,200.55,175,199.55,116,202.05,292,203.05,175,204.05,116,201.8
10,NEXUS_AI,201.96,115,200.96,69,199.96,46,202.46,115,203.46,69,204.46,46,202.21
11,NEXUS_AI,202.05,238,201.05,143,200.05,95,202.55,238,203.55,143,204.55,95,202.3
12,NEXUS_AI,201.22,272,200.22,163,199.22,109,201.72,272,202.72,163,203.72,109,201.47
13,NEXUS_AI,202.54,290,201.54,174,200.54,116,203.04,290,204.04,174,205.04,116,202.79
14,NEXUS_AI,201.27,278,200.27,166,199.27,111,201.77,278,202.77,166,203.77,111,201.52
15,NEXUS_AI,202.06,112,201.06,67,200.06,44,202.56,112,203.56,67,204.56,44,202.31
16,NEXUS_AI,206.19,180,205.19,108,204.19,72,206.69,180,207.69,108,208.69,72,206.44
17,NEXUS_AI,206.31,290,205.31,174,204.31,116,206.81,290,207.81,174,208.81,116,206.56
18,NEXUS_AI,208.96,213,207.96,127,206.96,85,209.46,213,210.46,127,211.46,85,209.21
19,NEXUS_AI,208.32,280,207.32,168,206.32,112,208.82,280,209.82,168,210.82,112,208.57
20,NEXUS_AI,207.93,298,206.93,179,205.93,119,208.43,298,209.43,179,210.43,119,208.18
21,NEXUS_AI,208.66,145,207.66,87,206.66,58,209.16,145,210.16,87,211.16,58,208.91
22,NEXUS_AI,210.57,196,209.57,117,208.57,78,211.07,196,212.07,117,213.07,78,210.82
23,NEXUS_AI,213.13,242,212.13,145,211.13,96,213.63,242,214.63,145,215.63,96,213.38
24,NEXUS_AI,213.65,184,212.65,110,211.65,73,214.15,184,215.15,110,216.15,73,213.9
25,NEXUS_AI,214.56,139,213.56,83,212.56,55,215.06,139,216.06,83,217.06,55,214.81
26,NEXUS_AI,215.8,260,214.8,156,213.8,104,216.3,260,217.3,156,218.3,104,216.05
27,NEXUS_AI,217.62,177,216.62,106,215.62,70,218.12,177,219.12,106,220.12,70,217.87
28,NEXUS_AI,218.72,281,217.72,168,216.72,112,219.22,281,220.22,168,221.22,112,218.97
29,NEXUS_AI,220.17,147,219.17,88,218.17,58,220.67,147,221.67,88,222.67,58,220.42
30,NEXUS_AI,220.55,237,219.55,142,218.55,94,221.05,237,222.05,142,223.05,94,220.8
31,NEXUS_AI,222.16,156,221.16,93,220.16,62,222.66,156,223.66,93,224.66,62,222.41
32,NEXUS_AI,223.37,292,222.37,175,221.37,117,223.87,292,224.87,175,225.87,117,223.62
33,NEXUS_AI,226.0,243,225.0,146,224.0,97,226.5,243,227.5,146,228.5,97,226.25
34,NEXUS_AI,227.28,264,226.28,158,225.28,105,227.78,264,228.78,158,229.78,105,227.53
35,NEXUS_AI,229.87,162,228.87,97,227.87,64,230.37,162,231.37,97,232.37,64,230.12
36,NEXUS_AI,230.64,129,229.64,77,228.64,51,231.14,129,232.14,77,233.14,51,230.89
37,NEXUS_AI,235.0,285,234.0,171,233.0,114,235.5,285,236.5,171,237.5,114,235.25
38,NEXUS_AI,234.93,231,233.93,138,232.93,92,235.43,231,236.43,138,237.43,92,235.18
39,NEXUS_AI,236.72,111,235.72,66,234.72,44,237.22,111,238.22,66,239.22,44,236.97
40,NEXUS_AI,239.23,124,238.23,74,237.23,49,239.73,124,240.73,74,241.73,49,239.48
41,NEXUS_AI,242.57,297,241.57,178,240.57,119,243.07,297,244.07,178,245.07,119,242.82
42,NEXUS_AI,244.0,261,243.0,156,242.0,104,244.5,261,245.5,156,246.5,104,244.25
43,NEXUS_AI,245.41,208,244.41,125,243.41,83,245.91,208,246.91,125,247.91,83,245.66
44,NEXUS_AI,248.58,289,247.58,173,246.58,115,249.08,289,250.08,173,251.08,115,248.83
45,NEXUS_AI,248.41,118,247.41,70,246.41,47,248.91,118,249.91,70,250.91,47,248.66
46,NEXUS_AI,250.34,118,249.34,71,248.34,47,250.84,118,251.84,71,252.84,47,250.59
47,NEXUS_AI,252.01,164,251.01,98,250.01,65,252.51,164,253.51,98,254.51,65,252.26
48,NEXUS_AI,255.16,204,254.16,122,253.16,81,255.66,204,256.65999999999997,122,257.65999999999997,81,255.41
