timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,ORBIT_LOGISTICS,149.88,270,148.88,162,147.88,108,150.08,270,151.08,162,152.08,108,149.98
1,ORBIT_LOGISTICS,149.75,447,148.75,268,147.75,179,149.95,447,150.95,268,151.95,179,149.85
2,ORBIT_LOGISTICS,149.72,423,148.72,253,147.72,169,149.92,423,150.92,253,151.92,169,149.82
3,ORBIT_LOGISTICS,150.38,269,149.38,161,148.38,107,150.58,269,151.58,161,152.58,107,150.48
4,ORBIT_LOGISTICS,149.9,443,148.9,265,147.9,177,150.1,443,151.1,265,152.1,177,150.0
5,ORBIT_LOGISTICS,150.3,221,149.3,132,148.3,88,150.5,221,151.5,132,152.5,88,150.4
6,ORBIT_LOGISTICS,150.44,276,149.44,165,148.44,110,150.64,276,151.64,165,152.64,110,150.54
7,ORBIT_LOGISTICS,149.98,203,148.98,122,147.98,81,150.18,203,151.18,122,152.18,81,150.08
8,ORBIT_LOGISTICS,150.87,334,149.87,200,148.87,133,151.07,334,152.07,200,153.07,133,150.97
9,ORBIT_LOGISTICS,152.07,382,151.07,229,150.07,153,152.27,382,153.27,229,154.27,153,152.17
10,ORBIT_LOGISTICS,152.32,360,151.32,216,150.32,144,152.52,360,153.52,216,154.52,144,152.42
11,ORBIT_LOGISTICS,152.24,191,151.24,114,150.24,76,152.44,191,153.44,114,154.44,76,152.34
12,ORBIT_LOGISTICS,151.23,216,150.23,129,149.23,86,151.43,216,152.43,129,153.43,86,151.33
13,ORBIT_LOGISTICS,151.63,393,150.63,236,149.63,157,151.83,393,152.83,236,153.83,157,151.73
14,ORBIT_LOGISTICS,151.19,419,150.19,251,149.19,167,151.39,419,152.39,251,153.39,167,151.29
15,ORBIT_LOGISTICS,151.25,356,150.25,213,149.25,142,151.45,356,152.45,213,153.45,142,151.35
16,ORBIT_LOGISTICS,153.31,352,152.31,211,151.31,140,153.51,352,154.51,211,155.51,140,153.41
17,ORBIT_LOGISTICS,153.29,285,152.29,171,151.29,114,153.49,285,154.49,171,155.49,114,153.39
18,ORBIT_LOGISTICS,154.86,375,153.86,225,152.86,150,155.06,375,156.06,225,157.06,150,154.96
19,ORBIT_LOGISTICS,154.47,400,153.47,240,152.47,160,154.67,400,155.67,240,156.67,160,154.57
20,ORBIT_LOGISTICS,154.1,233,153.1,139,152.1,93,154.3,233,155.3,139,156.3,93,154.2
21,ORBIT_LOGISTICS,154.59,223,153.59,134,152.59,89,154.79,223,155.79,134,156.79,89,154.69
22,ORBIT_LOGISTICS,155.5,384,154.5,230,153.5,153,155.7,384,156.7,230,157.7,153,155.6
23,ORBIT_LOGISTICS,156.36,216,155.36,129,154.36,86,156.56,216,157.56,129,158.56,86,156.46
24,ORBIT_LOGISTICS,157.74,420,156.74,252,155.74,168,157.94,420,158.94,252,159.94,168,157.84
25,ORBIT_LOGISTICS,157.89,210,156.89,126,155.89,84,158.09,210,159.09,126,160.09,84,157.99
26,ORBIT_LOGISTICS,158.76,166,157.76,99,156.76,66,158.96,166,159.96,99,160.96,66,158.86
27,ORBIT_LOGISTICS,158.36,230,157.36,138,156.36,92,158.56,230,159.56,138,160.56,92,158.46
28,ORBIT_LOGISTICS,159.14,210,158.14,126,157.14,84,159.34,210,160.34,126,161.34,84,159.24
29,ORBIT_LOGISTICS,159.44,359,158.44,215,157.44,143,159.64,359,160.64,215,161.64,143,159.54
30,ORBIT_LOGISTICS,160.04,298,159.04,178,158.04,119,160.24,298,161.24,178,162.24,119,160.14
31,ORBIT_LOGISTICS,160.65,170,159.65,102,158.65,68,160.85,170,161.85,102,162.85,68,160.75
32,ORBIT_LOGISTICS,161.64,306,160.64,183,159.64,122,161.84,306,162.84,183,163.84,122,161.74
33,ORBIT_LOGISTICS,162.91,341,161.91,204,160.91,136,163.11,341,164.11,204,165.11,136,163.01
34,ORBIT_LOGISTICS,164.08,223,163.08,133,162.08,89,164.28,223,165.28,133,166.28,89,164.18
35,ORBIT_LOGISTICS,166.21,222,165.21,133,164.21,89,166.41,222,167.41,133,168.41,89,166.31
36,ORBIT_LOGISTICS,165.7,306,164.7,183,163.7,122,165.9,306,166.9,183,167.9,122,165.8
37,ORBIT_LOGISTICS,167.4,295,166.4,177,165.4,118,167.6,295,168.6,177,169.6,118,167.5
38,ORBIT_LOGISTICS,167.51,400,166.51,240,165.51,160,167.71,400,168.71,240,169.71,160,167.61
39,ORBIT_LOGISTICS,168.01,151,167.01,90,166.01,60,168.21,151,169.21,90,170.21,60,168.11
40,ORBIT_LOGISTICS,169.54,172,168.54,103,167.54,69,169.74,172,170.74,103,171.74,69,169.64
41,ORBIT_LOGISTICS,170.86,363,169.86,218,168.86,145,171.06,363,172.06,218,173.06,145,170.96
42,ORBIT_LOGISTICS,172.16,381,171.16,228,170.16,152,172.36,381,173.36,228,174.36,152,172.26
43,ORBIT_LOGISTICS,172.96,322,171.96,193,170.96,129,173.16,322,174.16,193,175.16,129,173.06
44,ORBIT_LOGISTICS,174.62,217,173.62,130,172.62,87,174.82,217,175.82,130,176.82,87,174.72
45,ORBIT_LOGISTICS,173.88,220,172.88,132,171.88,88,174.08,220,175.08,132,176.08,88,173.98
46,ORBIT_LOGISTICS,174.15,380,173.15,228,172.15,152,174.35,380,175.35,228,176.35,152,174.25
47,ORBIT_LOGISTICS,175.02,379,174.02,227,173.02,151,175.22,379,176.22,227,177.22,151,175.12
