timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
500,DESERT_HYDROGEN,74.83,144,73.83,86,72.83,57,76.07,144,77.07,86,78.07,57,75.45
501,DESERT_HYDROGEN,72.71,158,71.71,94,70.71,63,73.93,158,74.93,94,75.93,63,73.32
502,DESERT_HYDROGEN,76.11,170,75.11,102,74.11,68,77.31,170,78.31,102,79.31,68,76.71
503,DESERT_HYDROGEN,79.87,167,78.87,100,77.87,66,81.05,167,82.05,100,83.05,66,80.46
504,DESERT_HYDROGEN,84.11,212,83.11,127,82.11,85,85.27,212,86.27,127,87.27,85,84.69
505,DESERT_HYDROGEN,86.58,232,85.58,139,84.58,92,87.72,232,88.72,139,89.72,92,87.15
506,DESERT_HYDROGEN,89.12,191,88.12,114,87.12,76,90.26,191,91.26,114,92.26,76,89.69
507,DESERT_HYDROGEN,94.68,85,93.68,51,92.68,34,95.8,85,96.8,51,97.8,34,95.24
508,DESERT_HYDROGEN,97.04,145,96.04,87,95.04,58,98.14,145,99.14,87,100.14,58,97.59
509,DESERT_HYDROGEN,99.75,193,98.75,116,97.75,77,100.83,193,101.83,116,102.83,77,100.29
510,DESERT_HYDROGEN,104.36,178,103.36,106,102.36,71,105.42,178,106.42,106,107.42,71,104.89
511,DESERT_HYDROGEN,102.44,143,101.44,85,100.44,57,103.5,143,104.5,85,105.5,57,102.97
512,DESERT_HYDROGEN,99.66,153,98.66,92,97.66,61,100.7,153,101.7,92,102.7,61,100.18
513,DESERT_HYDROGEN,101.01,161,100.01,96,99.01,64,102.03,161,103.03,96,104.03,64,101.52
514,DESERT_HYDROGEN,104.56,146,103.56,87,102.56,58,105.56,146,106.56,87,107.56,58,105.06
515,DESERT_HYDROGEN,105.17,65,104.17,39,103.17,26,106.17,65,107.17,39,108.17,26,105.67
516,DESERT_HYDROGEN,105.33,111,104.33,66,103.33,44,106.31,111,107.31,66,108.31,44,105.82
517,DESERT_HYDROGEN,101.81,95,100.81,57,99.81,38,102.77,95,103.77,57,104.77,38,102.29
518,DESERT_HYDROGEN,99.73,156,98.73,93,97.73,62,100.69,156,101.69,93,102.69,62,100.21
519,DESERT_HYDROGEN,98.62,155,97.62,93,96.62,62,99.56,155,100.56,93,101.56,62,99.09
520,DESERT_HYDROGEN,99.19,116,98.19,69,97.19,46,100.13,116,101.13,69,102.13,46,99.66
521,DESERT_HYDROGEN,98.69,61,97.69,36,96.69,24,99.61,61,100.61,36,101.61,24,99.15
522,DESERT_HYDROGEN,98.5,133,97.5,79,96.5,53,99.42,133,100.42,79,101.42,53,98.96
523,DESERT_HYDROGEN,98.65,118,97.65,71,96.65,47,99.55,118,100.55,71,101.55,47,99.1
524,DESERT_HYDROGEN,99.13,81,98.13,48,97.13,32,100.03,81,101.03,48,102.03,32,99.58
525,DESERT_HYDROGEN,98.43,51,97.43,30,96.43,20,99.31,51,100.31,30,101.31,20,98.87
526,DESERT_HYDROGEN,98.0,80,97.0,48,96.0,32,98.88,80,99.88,48,100.88,32,98.44
527,DESERT_HYDROGEN,98.76,121,97.76,72,96.76,48,99.62,121,100.62,72,101.62,48,99.19
528,DESERT_HYDROGEN,97.14,39,96.14,23,95.14,15,98.0,39,99.0,23,100.0,15,97.57
529,DESERT_HYDROGEN,97.34,47,96.34,28,95.34,19,98.18,47,99.18,28,100.18,19,97.76
530,DESERT_HYDROGEN,97.2,36,96.2,21,95.2,14,98.04,36,99.04,21,100.04,14,97.62
531,DESERT_HYDROGEN,94.72,56,93.72,33,92.72,22,95.54,56,96.54,33,97.54,22,95.13
532,DESERT_HYDROGEN,92.66,95,91.66,57,90.66,38,93.48,95,94.48,57,95.48,38,93.07
533,DESERT_HYDROGEN,92.47,43,91.47,26,90.47,17,93.29,43,94.29,26,95.29,17,92.88
534,DESERT_HYDROGEN,92.87,45,91.87,27,90.87,18,93.67,45,94.67,27,95.67,18,93.27
535,DESERT_HYDROGEN,95.1,63,94.1,38,93.1,25,95.9,63,96.9,38,97.9,25,95.5
536,DESERT_HYDROGEN,93.45,25,92.45,15,91.45,10,94.25,25,95.25,15,96.25,10,93.85
537,DESERT_HYDROGEN,91.74,87,90.74,52,89.74,34,92.54,87,93.54,52,94.54,34,92.14
538,DESERT_HYDROGEN,91.03,33,90.03,20,89.03,13,91.83,33,92.83,20,93.83,13,91.43
539,DESERT_HYDROGEN,90.34,25,89.34,15,88.34,10,91.14,25,92.14,15,93.14,10,90.74
540,DESERT_HYDROGEN,92.11,91,91.11,54,90.11,36,92.91,91,93.91,54,94.91,36,92.51
541,DESERT_HYDROGEN,94.66,37,93.66,22,92.66,14,95.46,37,96.46,22,97.46,14,95.06
