timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
500,DIFC100,1006.06,874,1005.06,524,1004.06,349,1007.46,874,1008.46,524,1009.46,349,1006.76
501,DIFC100,1008.15,465,1007.15,279,1006.15,186,1009.53,465,1010.53,279,1011.53,186,1008.84
502,DIFC100,1005.97,410,1004.97,246,1003.97,164,1007.33,410,1008.33,246,1009.33,164,1006.65
503,DIFC100,1004.96,446,1003.96,267,1002.96,178,1006.28,446,1007.28,267,1008.28,178,1005.62
504,DIFC100,1005.57,411,1004.57,246,1003.57,164,1006.87,411,1007.87,246,1008.87,164,1006.22
505,DIFC100,999.5,874,998.5,524,997.5,349,1000.76,874,1001.76,524,1002.76,349,1000.13
506,DIFC100,997.58,778,996.58,467,995.58,311,998.94,778,999.94,467,1000.94,311,998.26
507,DIFC100,994.71,735,993.71,441,992.71,294,996.03,735,997.03,441,998.03,294,995.37
508,DIFC100,990.96,993,989.96,596,988.96,397,992.28,993,993.28,596,994.28,397,991.62
509,DIFC100,985.45,525,984.45,315,983.45,210,986.77,525,987.77,315,988.77,210,986.11
510,DIFC100,986.0,560,985.0,336,984.0,224,987.38,560,988.38,336,989.38,224,986.69
511,DIFC100,989.21,629,988.21,377,987.21,251,990.55,629,991.55,377,992.55,251,989.88
512,DIFC100,991.45,612,990.45,367,989.45,244,992.79,612,993.79,367,994.79,244,992.12
513,DIFC100,994.21,572,993.21,343,992.21,229,995.53,572,996.53,343,997.53,229,994.87
514,DIFC100,990.59,652,989.59,391,988.59,261,991.89,652,992.89,391,993.89,261,991.24
515,DIFC100,991.89,677,990.89,406,989.89,270,993.21,677,994.21,406,995.21,270,992.55
516,DIFC100,1000.45,306,999.45,183,998.45,122,1001.73,306,1002.73,183,1003.73,122,1001.09
517,DIFC100,1000.75,668,999.75,401,998.75,267,1002.21,668,1003.21,401,1004.21,267,1001.48
518,DIFC100,995.98,717,994.98,430,993.98,287,997.38,717,998.38,430,999.38,287,996.68
519,DIFC100,1002.43,530,1001.43,318,1000.43,212,1003.85,530,1004.85,318,1005.85,212,1003.14
520,DIFC100,1009.86,463,1008.86,278,1007.86,185,1011.34,463,1012.34,278,1013.34,185,1010.6
521,DIFC100,1010.74,927,1009.74,556,1008.74,371,1012.28,927,1013.28,556,1014.28,371,1011.51
522,DIFC100,1009.8,632,1008.8,379,1007.8,252,1011.28,632,1012.28,379,1013.28,252,1010.54
523,DIFC100,1006.0,274,1005.0,164,1004.0,109,1007.44,274,1008.44,164,1009.44,109,1006.72
524,DIFC100,1002.51,583,1001.51,350,1000.51,233,1003.93,583,1004.93,350,1005.93,233,1003.22
525,DIFC100,1009.4,821,1008.4,492,1007.4,328,1010.8,821,1011.8,492,1012.8,328,1010.1
526,DIFC100,1006.25,470,1005.25,282,1004.25,188,1007.73,470,1008.73,282,1009.73,188,1006.99
527,DIFC100,1005.07,882,1004.07,529,1003.07,352,1006.51,882,1007.51,529,1008.51,352,1005.79
528,DIFC100,996.53,359,995.53,215,994.53,143,997.93,359,998.93,215,999.93,143,997.23
529,DIFC100,996.31,326,995.31,195,994.31,130,997.83,326,998.83,195,999.83,130,997.07
530,DIFC100,996.55,741,995.55,444,994.55,296,998.01,741,999.01,444,1000.01,296,997.28
531,DIFC100,1000.52,988,999.52,593,998.52,395,1001.94,988,1002.94,593,1003.94,395,1001.23
532,DIFC100,991.52,297,990.52,178,989.52,118,992.92,297,993.92,178,994.92,118,992.22
533,DIFC100,984.23,925,983.23,555,982.23,370,985.79,925,986.79,555,987.79,370,985.01
534,DIFC100,973.28,973,972.28,583,971.28,389,974.88,973,975.88,583,976.88,389,974.08
535,DIFC100,984.34,748,983.34,449,982.34,299,986.1,748,987.1,449,988.1,299,985.22
536,DIFC100,984.46,850,983.46,510,982.46,340,986.32,850,987.32,510,988.32,340,985.39
537,DIFC100,1004.53,634,1003.53,380,1002.53,253,1006.29,634,1007.29,380,1008.29,253,1005.41
538,DIFC100,1007.36,600,1006.36,360,1005.36,240,1009.58,600,1010.58,360,1011.58,240,1008.47
539,DIFC100,1008.45,532,1007.45,319,1006.45,213,1010.55,532,1011.55,319,1012.55,213,1009.5
540,DIFC100,999.97,541,998.97,324,997.97,216,1001.93,541,1002.93,324,1003.93,216,1000.95
541,DIFC100,997.92,363,996.92,218,995.92,145,999.88,363,1000.88,218,1001.88,145,998.9
542,DIFC100,983.15,325,982.15,195,981.15,130,984.99,325,985.99,195,986.99,130,984.07
543,DIFC100,986.39,582,985.39,349,984.39,232,988.45,582,989.45,349,990.45,232,987.42
