timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
500,DUNE_ENERGY,99.85,107,98.85,64,97.85,43,100.1,107,101.1,64,102.1,43,99.95
501,DUNE_ENERGY,99.94,52,98.94,31,97.94,21,100.27,52,101.27,31,102.27,21,100.08
502,DUNE_ENERGY,99.08,40,98.08,24,97.08,16,99.41,40,100.41,24,101.41,16,99.19
503,DUNE_ENERGY,99.78,60,98.78,36,97.78,24,99.92,60,100.92,36,101.92,24,99.8
504,DUNE_ENERGY,98.49,65,97.49,39,96.49,26,98.77,65,99.77,39,100.77,26,98.58
505,DUNE_ENERGY,98.0,76,97.0,45,96.0,30,98.26,76,99.26,45,100.26,30,98.15
506,DUNE_ENERGY,97.2,108,96.2,64,95.2,43,97.65,108,98.65,64,99.65,43,97.44
507,DUNE_ENERGY,97.83,44,96.83,26,95.83,17,98.04,44,99.04,26,100.04,17,97.99
508,DUNE_ENERGY,98.23,44,97.23,26,96.23,17,98.57,44,99.57,26,100.57,17,98.4
509,DUNE_ENERGY,98.11,103,97.11,61,96.11,41,98.36,103,99.36,61,100.36,41,98.21
510,DUNE_ENERGY,98.61,44,97.61,26,96.61,17,98.86,44,99.86,26,100.86,17,98.68
511,DUNE_ENERGY,98.27,53,97.27,32,96.27,21,98.51,53,99.51,32,100.51,21,98.36
512,DUNE_ENERGY,98.74,107,97.74,64,96.74,42,98.99,107,99.99,64,100.99,42,98.91
513,DUNE_ENERGY,98.9,148,97.9,89,96.9,59,99.32,148,100.32,89,101.32,59,99.17
514,DUNE_ENERGY,98.54,133,97.54,80,96.54,53,98.86,133,99.86,80,100.86,53,98.69
515,DUNE_ENERGY,98.04,63,97.04,38,96.04,25,98.39,63,99.39,38,100.39,25,98.23
516,DUNE_ENERGY,98.7,64,97.7,38,96.7,25,98.98,64,99.98,38,100.98,25,98.85
517,DUNE_ENERGY,99.62,91,98.62,54,97.62,36,99.97,91,100.97,54,101.97,36,99.73
518,DUNE_ENERGY,99.82,63,98.82,38,97.82,25,100.23,63,101.23,38,102.23,25,100.02
519,DUNE_ENERGY,100.33,71,99.33,42,98.33,28,100.56,71,101.56,42,102.56,28,100.42
520,DUNE_ENERGY,100.76,82,99.76,49,98.76,32,101.02,82,102.02,49,103.02,32,100.91
521,DUNE_ENERGY,100.74,41,99.74,24,98.74,16,101.15,41,102.15,24,103.15,16,100.92
522,DUNE_ENERGY,100.64,99,99.64,59,98.64,39,100.9,99,101.9,59,102.9,39,100.74
523,DUNE_ENERGY,101.33,104,100.33,62,99.33,41,101.7,104,102.7,62,103.7,41,101.5
524,DUNE_ENERGY,102.23,121,101.23,72,100.23,48,102.59,121,103.59,72,104.59,48,102.43
525,DUNE_ENERGY,101.14,118,100.14,71,99.14,47,101.38,118,102.38,71,103.38,47,101.25
526,DUNE_ENERGY,101.33,117,100.33,70,99.33,47,101.46,117,102.46,70,103.46,47,101.36
527,DUNE_ENERGY,101.07,100,100.07,60,99.07,40,101.48,100,102.48,60,103.48,40,101.27
528,DUNE_ENERGY,100.92,127,99.92,76,98.92,50,101.35,127,102.35,76,103.35,50,101.16
529,DUNE_ENERGY,99.94,50,98.94,30,97.94,20,100.14,50,101.14,30,102.14,20,100.09
530,DUNE_ENERGY,99.13,54,98.13,32,97.13,21,99.37,54,100.37,32,101.37,21,99.29
531,DUNE_ENERGY,100.21,104,99.21,62,98.21,41,100.47,104,101.47,62,102.47,41,100.3
532,DUNE_ENERGY,100.34,96,99.34,57,98.34,38,100.63,96,101.63,57,102.63,38,100.43
533,DUNE_ENERGY,101.22,114,100.22,68,99.22,45,101.51,114,102.51,68,103.51,45,101.34
534,DUNE_ENERGY,99.75,56,98.75,33,97.75,22,100.02,56,101.02,33,102.02,22,99.89
535,DUNE_ENERGY,99.69,47,98.69,28,97.69,18,100.05,47,101.05,28,102.05,18,99.9
536,DUNE_ENERGY,98.82,72,97.82,43,96.82,29,99.15,72,100.15,43,101.15,29,99.0
537,DUNE_ENERGY,99.01,114,98.01,68,97.01,45,99.2,114,100.2,68,101.2,45,99.13
538,DUNE_ENERGY,99.57,47,98.57,28,97.57,19,99.83,47,100.83,28,101.83,19,99.7
539,DUNE_ENERGY,98.81,100,97.81,60,96.81,40,99.08,100,100.08,60,101.08,40,98.94
540,DUNE_ENERGY,99.42,133,98.42,79,97.42,53,99.72,133,100.72,79,101.72,53,99.56
541,DUNE_ENERGY,98.34,88,97.34,53,96.34,35,98.63,88,99.63,53,100.63,35,98.52
542,DUNE_ENERGY,97.19,124,96.19,74,95.19,49,97.44,124,98.44,74,99.44,49,97.3
543,DUNE_ENERGY,97.49,150,96.49,90,95.49,60,97.75,150,98.75,90,99.75,60,97.62
544,DUNE_ENERGY,97.4,133,96.4,79,95.4,53,97.61,133,98.61,79,99.61,53,97.52
545,DUNE_ENERGY,97.42,136,96.42,81,95.42,54,97.62,136,98.62,81,99.62,54,97.48
546,DUNE_ENERGY,97.98,108,96.98,64,95.98,43,98.24,108,99.24,64,100.24,43,98.12
547,DUNE_ENERGY,97.35,98,96.35,59,95.35,39,97.7,98,98.7,59,99.7,39,97.53
548,DUNE_ENERGY,97.27,54,96.27,32,95.27,21,97.61,54,98.61,32,99.61,21,97.39
549,DUNE_ENERGY,97.08,118,96.08,71,95.08,47,97.32,118,98.32,71,99.32,47,97.16
550,DUNE_ENERGY,97.2,52,96.2,31,95.2,21,97.63,52,98.63,31,99.63,21,97.45
551,DUNE_ENERGY,97.43,126,96.43,75,95.43,50,97.75,126,98.75,75,99.75,50,97.63
552,DUNE_ENERGY,97.52,69,96.52,41,95.52,27,97.84,69,98.84,41,99.84,27,97.69
553,DUNE_ENERGY,96.97,139,95.97,83,94.97,55,97.33,139,98.33,83,99.33,55,97.2
554,DUNE_ENERGY,97.9,133,96.9,80,95.9,53,98.16,133,99.16,80,100.16,53,98.03
555,DUNE_ENERGY,98.98,138,97.98,83,96.98,55,99.31,138,100.31,83,101.31,55,99.19
556,DUNE_ENERGY,98.75,124,97.75,74,96.75,49,99.08,124,100.08,74,101.08,49,98.94
557,DUNE_ENERGY,99.07,75,98.07,45,97.07,30,99.41,75,100.41,45,101.41,30,99.27
558,DUNE_ENERGY,100.52,120,99.52,72,98.52,48,100.85,120,101.85,72,102.85,48,100.62
559,DUNE_ENERGY,99.42,46,98.42,27,97.42,18,99.69,46,100.69,27,101.69,18,99.6
560,DUNE_ENERGY,100.8,80,99.8,48,98.8,32,101.08,80,102.08,48,103.08,32,100.97
561,DUNE_ENERGY,99.73,78,98.73,46,97.73,31,100.0,78,101.0,46,102.0,31,99.9
562,DUNE_ENERGY,99.03,78,98.03,46,97.03,31,99.17,78,100.17,46,101.17,31,99.12
563,DUNE_ENERGY,99.19,99,98.19,59,97.19,39,99.45,99,100.45,59,101.45,39,99.32
564,DUNE_ENERGY,99.79,57,98.79,34,97.79,22,100.18,57,101.18,34,102.18,22,99.97
565,DUNE_ENERGY,99.57,82,98.57,49,97.57,32,99.92,82,100.92,49,101.92,32,99.75
566,DUNE_ENERGY,98.64,132,97.64,79,96.64,53,99.04,132,100.04,79,101.04,53,98.88
567,DUNE_ENERGY,98.55,88,97.55,52,96.55,35,98.83,88,99.83,52,100.83,35,98.69
568,DUNE_ENERGY,98.14,137,97.14,82,96.14,54,98.52,137,99.52,82,100.52,54,98.35
569,DUNE_ENERGY,97.93,67,96.93,40,95.93,27,98.25,67,99.25,40,100.25,27,98.14
570,DUNE_ENERGY,96.88,41,95.88,24,94.88,16,97.11,41,98.11,24,99.11,16,97.02
571,DUNE_ENERGY,98.36,134,97.36,80,96.36,53,98.68,134,99.68,80,100.68,53,98.5
572,DUNE_ENERGY,100.28,117,99.28,70,98.28,46,100.41,117,101.41,70,102.41,46,100.3
573,DUNE_ENERGY,100.11,70,99.11,42,98.11,28,100.37,70,101.37,42,102.37,28,100.27
574,DUNE_ENERGY,99.02,85,98.02,51,97.02,34,99.3,85,100.3,51,101.3,34,99.2
575,DUNE_ENERGY,99.53,103,98.53,62,97.53,41,99.89,103,100.89,62,101.89,41,99.7
576,DUNE_ENERGY,98.47,80,97.47,48,96.47,32,98.74,80,99.74,48,100.74,32,98.6
577,DUNE_ENERGY,97.53,92,96.53,55,95.53,37,97.77,92,98.77,55,99.77,37,97.64
578,DUNE_ENERGY,98.79,110,97.79,66,96.79,44,99.06,110,100.06,66,101.06,44,98.91
579,DUNE_ENERGY,98.74,93,97.74,55,96.74,37,98.95,93,99.95,55,100.95,37,98.83
580,DUNE_ENERGY,98.62,71,97.62,42,96.62,28,98.9,71,99.9,42,100.9,28,98.74
581,DUNE_ENERGY,99.33,127,98.33,76,97.33,51,99.7,127,100.7,76,101.7,51,99.55
582,DUNE_ENERGY,98.9,134,97.9,80,96.9,53,99.05,134,100.05,80,101.05,53,98.98
583,DUNE_ENERGY,98.89,141,97.89,84,96.89,56,99.22,141,100.22,84,101.22,56,99.07
584,DUNE_ENERGY,98.75,109,97.75,65,96.75,43,99.0,109,100.0,65,101.0,43,98.88
585,DUNE_ENERGY,98.77,107,97.77,64,96.77,42,98.93,107,99.93,64,100.93,42,98.79
586,DUNE_ENERGY,99.83,137,98.83,82,97.83,55,100.18,137,101.18,82,102.18,55,99.96
587,DUNE_ENERGY,99.47,120,98.47,72,97.47,48,99.74,120,100.74,72,101.74,48,99.59
588,DUNE_ENERGY,99.6,87,98.6,52,97.6,35,99.88,87,100.88,52,101.88,35,99.67
589,DUNE_ENERGY,99.59,118,98.59,71,97.59,47,99.85,118,100.85,71,101.85,47,99.67
590,DUNE_ENERGY,100.19,92,99.19,55,98.19,37,100.59,92,101.59,55,102.59,37,100.38
591,DUNE_ENERGY,100.26,75,99.26,45,98.26,30,100.5,75,101.5,45,102.5,30,100.35
592,DUNE_ENERGY,99.62,95,98.62,57,97.62,38,99.85,95,100.85,57,101.85,38,99.78
593,DUNE_ENERGY,99.6,53,98.6,32,97.6,21,99.76,53,100.76,32,101.76,21,99.71
594,DUNE_ENERGY,100.13,72,99.13,43,98.13,28,100.46,72,101.46,43,102.46,28,100.31
595,DUNE_ENERGY,100.92,90,99.92,54,98.92,36,101.16,90,102.16,54,103.16,36,101.05
596,DUNE_ENERGY,102.14,129,101.14,77,100.14,51,102.34,129,103.34,77,104.34,51,102.23
597,DUNE_ENERGY,101.96,148,100.96,89,99.96,59,102.33,148,103.33,89,104.33,59,102.1
598,DUNE_ENERGY,103.42,91,102.42,54,101.42,36,103.63,91,104.63,54,105.63,36,103.49
599,DUNE_ENERGY,102.82,47,101.82,28,100.82,18,103.21,47,104.21,28,105.21,18,103.02
600,DUNE_ENERGY,101.81,122,100.81,73,99.81,49,102.08,122,103.08,73,104.08,49,101.88
601,DUNE_ENERGY,101.5,107,100.5,64,99.5,43,101.87,107,102.87,64,103.87,43,101.71
602,DUNE_ENERGY,101.05,128,100.05,77,99.05,51,101.3,128,102.3,77,103.3,51,101.17
603,DUNE_ENERGY,101.22,75,100.22,45,99.22,30,101.58,75,102.58,45,103.58,30,101.41
604,DUNE_ENERGY,101.07,44,100.07,26,99.07,17,101.28,44,102.28,26,103.28,17,101.17
605,DUNE_ENERGY,101.33,58,100.33,34,99.33,23,101.57,58,102.57,34,103.57,23,101.39
606,DUNE_ENERGY,100.98,90,99.98,54,98.98,36,101.2,90,102.2,54,103.2,36,101.13
