timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
500,NEXUS_AI,229.24,118,228.24,70,227.24,47,229.74,118,230.74,70,231.74,47,229.49
501,NEXUS_AI,226.68,224,225.68,134,224.68,89,227.18,224,228.18,134,229.18,89,226.93
502,NEXUS_AI,225.11,206,224.11,123,223.11,82,225.61,206,226.61,123,227.61,82,225.36
503,NEXUS_AI,223.6,278,222.6,166,221.6,111,224.1,278,225.1,166,226.1,111,223.85
504,NEXUS_AI,220.65,208,219.65,125,218.65,83,221.15,208,222.15,125,223.15,83,220.9
505,NEXUS_AI,217.73,198,216.73,118,215.73,79,218.23,198,219.23,118,220.23,79,217.98
506,NEXUS_AI,215.6,227,214.6,136,213.6,91,216.1,227,217.1,136,218.1,91,215.85
507,NEXUS_AI,213.67,168,212.67,101,211.67,67,214.17,168,215.17,101,216.17,67,213.92
508,NEXUS_AI,211.39,109,210.39,65,209.39,43,211.89,109,212.89,65,213.89,43,211.64
509,NEXUS_AI,209.24,194,208.24,116,207.24,77,209.74,194,210.74,116,211.74,77,209.49
510,NEXUS_AI,207.72,286,206.72,171,205.72,114,208.22,286,209.22,171,210.22,114,207.97
511,NEXUS_AI,205.6,292,204.6,175,203.6,116,206.1,292,207.1,175,208.1,116,205.85
512,NEXUS_AI,205.82,122,204.82,73,203.82,49,206.32,122,207.32,73,208.32,49,206.07
513,NEXUS_AI,205.01,289,204.01,173,203.01,115,205.51,289,206.51,173,207.51,115,205.26
514,NEXUS_AI,201.48,256,200.48,153,199.48,102,201.98,256,202.98,153,203.98,102,201.73
515,NEXUS_AI,199.1,236,198.1,141,197.1,94,199.6,236,200.6,141,201.6,94,199.35
516,NEXUS_AI,195.75,287,194.75,172,193.75,115,196.25,287,197.25,172,198.25,115,196.0
517,NEXUS_AI,193.64,175,192.64,105,191.64,70,194.14,175,195.14,105,196.14,70,193.89
518,NEXUS_AI,191.1,177,190.1,106,189.1,71,191.6,177,192.6,106,193.6,71,191.35
519,NEXUS_AI,187.57,261,186.57,156,185.57,104,188.07,261,189.07,156,190.07,104,187.82
520,NEXUS_AI,184.0,174,183.0,104,182.0,69,184.5,174,185.5,104,186.5,69,184.25
521,NEXUS_AI,181.22,224,180.22,134,179.22,89,181.72,224,182.72,134,183.72,89,181.47
522,NEXUS_AI,181.08,164,180.08,98,179.08,65,181.58,164,182.58,98,183.58,65,181.33
523,NEXUS_AI,180.06,170,179.06,102,178.06,68,180.56,170,181.56,102,182.56,68,180.31
524,NEXUS_AI,178.63,251,177.63,150,176.63,100,179.13,251,180.13,150,181.13,100,178.88
525,NEXUS_AI,177.11,194,176.11,116,175.11,77,177.61,194,178.61,116,179.61,77,177.36
526,NEXUS_AI,174.69,235,173.69,141,172.69,94,175.19,235,176.19,141,177.19,94,174.94
527,NEXUS_AI,171.37,121,170.37,72,169.37,48,171.87,121,172.87,72,173.87,48,171.62
528,NEXUS_AI,170.37,292,169.37,175,168.37,117,170.87,292,171.87,175,172.87,117,170.62
529,NEXUS_AI,166.31,160,165.31,96,164.31,64,166.81,160,167.81,96,168.81,64,166.56
530,NEXUS_AI,165.09,188,164.09,112,163.09,75,165.59,188,166.59,112,167.59,75,165.34
531,NEXUS_AI,164.46,293,163.46,175,162.46,117,164.96,293,165.96,175,166.96,117,164.71
532,NEXUS_AI,161.13,221,160.13,132,159.13,88,161.63,221,162.63,132,163.63,88,161.38
533,NEXUS_AI,159.43,274,158.43,164,157.43,109,159.93,274,160.93,164,161.93,109,159.68
534,NEXUS_AI,158.92,103,157.92,61,156.92,41,159.42,103,160.42,61,161.42,41,159.17
535,NEXUS_AI,158.83,214,157.83,128,156.83,85,159.33,214,160.33,128,161.33,85,159.08
536,NEXUS_AI,158.6,110,157.6,66,156.6,44,159.1,110,160.1,66,161.1,44,158.85
537,NEXUS_AI,156.17,263,155.17,157,154.17,105,156.67,263,157.67,157,158.67,105,156.42
538,NEXUS_AI,151.73,169,150.73,101,149.73,67,152.23,169,153.23,101,154.23,67,151.98
539,NEXUS_AI,150.84,125,149.84,75,148.84,50,151.34,125,152.34,75,153.34,50,151.09
540,NEXUS_AI,147.24,291,146.24,174,145.24,116,147.74,291,148.74,174,149.74,116,147.49
541,NEXUS_AI,146.55,250,145.55,150,144.55,100,147.05,250,148.05,150,149.05,100,146.8
