timestamp,asset,mid_price,bid,ask,volume,fair_value_hint
0,DESERT_HYDROGEN,50.82,50.42,51.22,96,
1,DESERT_HYDROGEN,52.48,52.08,52.88,158,
2,DESERT_HYDROGEN,53.8,53.4,54.2,127,
3,DESERT_HYDROGEN,55.61,55.21,56.01,123,
4,DESERT_HYDROGEN,55.22,54.82,55.62,177,
5,DESERT_HYDROGEN,55.8,55.4,56.2,144,
6,DESERT_HYDROGEN,58.3,57.9,58.7,69,
7,DESERT_HYDROGEN,57.19,56.79,57.59,50,
8,DESERT_HYDROGEN,59.88,59.48,60.28,87,
9,DESERT_HYDROGEN,56.73,56.33,57.13,131,
10,DESERT_HYDROGEN,57.71,57.31,58.11,172,
11,DESERT_HYDROGEN,59.03,58.63,59.43,67,
12,DESERT_HYDROGEN,60.24,59.84,60.64,121,
13,DESERT_HYDROGEN,61.28,60.88,61.68,87,
14,DESERT_HYDROGEN,65.39,64.99,65.79,96,
15,DESERT_HYDROGEN,68.02,67.62,68.42,148,
16,DESERT_HYDROGEN,66.98,66.58,67.38,173,
17,DESERT_HYDROGEN,68.39,67.99,68.79,155,
18,DESERT_HYDROGEN,66.68,66.28,67.08,85,
19,DESERT_HYDROGEN,65.42,65.02,65.82,112,
20,DESERT_HYDROGEN,64.02,63.62,64.42,187,
21,DESERT_HYDROGEN,65.3,64.9,65.7,186,
22,DESERT_HYDROGEN,63.46,63.06,63.86,108,
23,DESERT_HYDROGEN,63.55,63.15,63.95,148,
24,DESERT_HYDROGEN,65.62,65.22,66.02,184,
25,DESERT_HYDROGEN,66.82,66.42,67.22,197,
26,DESERT_HYDROGEN,67.28,66.88,67.68,106,
27,DESERT_HYDROGEN,64.59,64.19,64.99,72,
28,DESERT_HYDROGEN,64.61,64.21,65.01,54,
29,DESERT_HYDROGEN,64.74,64.34,65.14,142,
30,DESERT_HYDROGEN,61.23,60.83,61.63,78,
31,DESERT_HYDROGEN,59.88,59.48,60.28,65,
32,DESERT_HYDROGEN,61.1,60.7,61.5,85,
33,DESERT_HYDROGEN,60.36,59.96,60.76,125,
34,DESERT_HYDROGEN,57.61,57.21,58.01,191,
35,DESERT_HYDROGEN,58.32,57.92,58.72,157,
36,DESERT_HYDROGEN,58.46,58.06,58.86,64,
37,DESERT_HYDROGEN,61.28,60.88,61.68,85,
38,DESERT_HYDROGEN,63.01,62.61,63.41,86,
39,DESERT_HYDROGEN,64.57,64.17,64.97,146,
40,DESERT_HYDROGEN,64.34,63.94,64.74,158,
41,DESERT_HYDROGEN,62.04,61.64,62.44,145,
42,DESERT_HYDROGEN,62.72,62.32,63.12,198,
43,DESERT_HYDROGEN,62.97,62.57,63.37,68,
44,DESERT_HYDROGEN,60.99,60.59,61.39,90,
45,DESERT_HYDROGEN,61.29,60.89,61.69,57,
46,DESERT_HYDROGEN,61.8,61.4,62.2,112,
47,DESERT_HYDROGEN,62.47,62.07,62.87,69,
48,DESERT_HYDROGEN,65.3,64.9,65.7,156,
49,DESERT_HYDROGEN,65.53,65.13,65.93,88,
50,DESERT_HYDROGEN,65.7,65.3,66.1,85,
51,DESERT_HYDROGEN,64.03,63.63,64.43,185,
52,DESERT_HYDROGEN,63.64,63.24,64.04,155,
53,DESERT_HYDROGEN,62.45,62.05,62.85,136,
54,DESERT_HYDROGEN,60.43,60.03,60.83,53,
55,DESERT_HYDROGEN,61.19,60.79,61.59,123,
56,DESERT_HYDROGEN,61.6,61.2,62.0,58,
57,DESERT_HYDROGEN,61.95,61.55,62.35,94,
58,DESERT_HYDROGEN,61.74,61.34,62.14,158,
59,DESERT_HYDROGEN,61.75,61.35,62.15,166,
60,DESERT_HYDROGEN,59.1,58.7,59.5,196,
61,DESERT_HYDROGEN,58.16,57.76,58.56,178,
62,DESERT_HYDROGEN,57.8,57.4,58.2,90,
63,DESERT_HYDROGEN,58.82,58.42,59.22,119,
64,DESERT_HYDROGEN,60.63,60.23,61.03,82,
65,DESERT_HYDROGEN,60.33,59.93,60.73,104,
66,DESERT_HYDROGEN,59.93,59.53,60.33,150,
67,DESERT_HYDROGEN,60.24,59.84,60.64,97,
68,DESERT_HYDROGEN,62.05,61.65,62.45,69,
69,DESERT_HYDROGEN,58.38,57.98,58.78,169,
70,DESERT_HYDROGEN,56.23,55.83,56.63,153,
71,DESERT_HYDROGEN,56.55,56.15,56.95,147,
72,DESERT_HYDROGEN,57.94,57.54,58.34,158,
73,DESERT_HYDROGEN,60.28,59.88,60.68,99,
74,DESERT_HYDROGEN,60.2,59.8,60.6,142,
75,DESERT_HYDROGEN,60.91,60.51,61.31,135,
76,DESERT_HYDROGEN,62.12,61.72,62.52,188,
77,DESERT_HYDROGEN,62.35,61.95,62.75,77,
78,DESERT_HYDROGEN,64.21,63.81,64.61,129,
79,DESERT_HYDROGEN,65.03,64.63,65.43,98,
80,DESERT_HYDROGEN,63.01,62.61,63.41,58,
81,DESERT_HYDROGEN,62.34,61.94,62.74,111,
82,DESERT_HYDROGEN,61.85,61.45,62.25,194,
83,DESERT_HYDROGEN,65.95,65.55,66.35,61,
84,DESERT_HYDROGEN,63.51,63.11,63.91,61,
85,DESERT_HYDROGEN,62.49,62.09,62.89,62,
86,DESERT_HYDROGEN,61.08,60.68,61.48,52,
87,DESERT_HYDROGEN,64.4,64.0,64.8,141,
88,DESERT_HYDROGEN,64.45,64.05,64.85,178,
89,DESERT_HYDROGEN,60.67,60.27,61.07,99,
90,DESERT_HYDROGEN,60.09,59.69,60.49,141,
91,DESERT_HYDROGEN,61.47,61.07,61.87,83,
92,DESERT_HYDROGEN,61.28,60.88,61.68,154,
93,DESERT_HYDROGEN,60.64,60.24,61.04,178,
94,DESERT_HYDROGEN,62.85,62.45,63.25,88,
95,DESERT_HYDROGEN,64.47,64.07,64.87,56,
96,DESERT_HYDROGEN,63.22,62.82,63.62,200,
97,DESERT_HYDROGEN,62.47,62.07,62.87,59,
98,DESERT_HYDROGEN,62.26,61.86,62.66,168,
99,DESERT_HYDROGEN,63.11,62.71,63.51,70,
100,DESERT_HYDROGEN,63.61,63.21,64.01,109,
101,DESERT_HYDROGEN,63.19,62.79,63.59,105,
102,DESERT_HYDROGEN,63.97,63.57,64.37,91,
103,DESERT_HYDROGEN,61.93,61.53,62.33,178,
104,DESERT_HYDROGEN,59.53,59.13,59.93,183,
105,DESERT_HYDROGEN,59.3,58.9,59.7,137,
106,DESERT_HYDROGEN,58.55,58.15,58.95,124,
107,DESERT_HYDROGEN,58.82,58.42,59.22,142,
108,DESERT_HYDROGEN,56.29,55.89,56.69,60,
109,DESERT_HYDROGEN,53.81,53.41,54.21,149,
110,DESERT_HYDROGEN,54.17,53.77,54.57,69,
111,DESERT_HYDROGEN,59.28,58.88,59.68,89,
112,DESERT_HYDROGEN,54.88,54.48,55.28,74,
113,DESERT_HYDROGEN,52.92,52.52,53.32,53,
114,DESERT_HYDROGEN,54.82,54.42,55.22,190,
115,DESERT_HYDROGEN,57.2,56.8,57.6,72,
116,DESERT_HYDROGEN,55.56,55.16,55.96,93,
117,DESERT_HYDROGEN,55.58,55.18,55.98,125,
