timestamp,asset,mid_price,bid,ask,volume,fair_value_hint
0,DIFC100,1002.5,1001.75,1003.25,1102,0.8874
1,DIFC100,1002.61,1001.88,1003.34,1974,0.76
2,DIFC100,1008.36,1007.66,1009.06,1570,0.8584
3,DIFC100,1005.0,1004.28,1005.72,1160,0.8012
4,DIFC100,1001.72,1001.01,1002.43,1831,0.7537
5,DIFC100,998.93,998.23,999.63,839,0.699
6,DIFC100,1002.15,1001.46,1002.84,918,0.6708
7,DIFC100,1006.0,1005.32,1006.68,1757,0.6766
8,DIFC100,1009.72,1009.04,1010.4,1738,0.6771
9,DIFC100,1008.44,1007.76,1009.12,1014,0.6
10,DIFC100,1005.74,1005.07,1006.41,1176,0.5713
11,DIFC100,1006.13,1005.47,1006.79,1974,0.5083
12,DIFC100,1014.24,1013.6,1014.88,836,0.8572
13,DIFC100,1013.85,1013.13,1014.57,1573,0.7362
14,DIFC100,1012.65,1011.95,1013.35,1150,0.6457
15,DIFC100,1008.08,1007.4,1008.76,1352,0.685
16,DIFC100,1010.0,1009.31,1010.69,511,0.6222
17,DIFC100,1013.92,1013.25,1014.59,1138,0.6445
18,DIFC100,1012.98,1012.3,1013.66,692,0.5695
19,DIFC100,1010.45,1009.79,1011.11,1601,0.5401
20,DIFC100,1008.76,1008.11,1009.41,1779,0.4971
21,DIFC100,1009.08,1008.44,1009.72,1459,0.4487
22,DIFC100,1007.95,1007.32,1008.58,1803,0.4154
23,DIFC100,1007.2,1006.58,1007.82,1645,0.385
24,DIFC100,1009.25,1008.64,1009.86,528,0.385
25,DIFC100,1007.25,1006.64,1007.86,894,0.3798
26,DIFC100,1006.3,1005.69,1006.91,1372,0.3585
27,DIFC100,1011.72,1011.12,1012.32,1696,0.5173
28,DIFC100,1011.16,1010.52,1011.8,1325,0.465
29,DIFC100,1007.81,1007.18,1008.44,1021,0.4848
30,DIFC100,1003.11,1002.47,1003.75,914,0.5662
31,DIFC100,1001.06,1000.4,1001.72,658,0.5274
32,DIFC100,999.63,998.98,1000.28,943,0.4839
33,DIFC100,998.75,998.11,999.39,1073,0.4419
34,DIFC100,1000.62,1000.0,1001.24,759,0.4243
35,DIFC100,1004.39,1003.77,1005.01,1569,0.475
36,DIFC100,999.34,998.71,999.97,1176,0.5808
37,DIFC100,995.96,995.3,996.62,1678,0.5834
38,DIFC100,996.7,996.04,997.36,1067,0.5197
39,DIFC100,991.95,991.3,992.6,1761,0.603
40,DIFC100,989.88,989.21,990.55,844,0.5602
41,DIFC100,986.28,985.62,986.94,505,0.5801
42,DIFC100,988.8,988.14,989.46,687,0.5481
43,DIFC100,978.03,977.38,978.68,1759,1.1992
44,DIFC100,980.24,979.45,981.03,500,1.0331
45,DIFC100,982.87,982.11,983.63,1162,0.9119
46,DIFC100,994.19,993.46,994.92,780,1.5262
47,DIFC100,1001.93,1001.09,1002.77,1547,1.6243
48,DIFC100,1004.27,1003.42,1005.12,1466,1.3829
49,DIFC100,998.43,997.61,999.25,1169,1.3577
50,DIFC100,995.26,994.45,996.07,993,1.1973
51,DIFC100,1004.05,1003.26,1004.84,1647,1.4666
52,DIFC100,995.83,995.0,996.66,1946,1.6247
53,DIFC100,1002.7,1001.85,1003.55,1471,1.6297
54,DIFC100,995.2,994.35,996.05,1149,1.6888
55,DIFC100,1005.06,1004.2,1005.92,1586,1.9781
56,DIFC100,1013.46,1012.56,1014.36,938,2.0614
57,DIFC100,1017.94,1017.03,1018.85,840,1.8272
58,DIFC100,1029.82,1028.94,1030.7,1956,2.3839
59,DIFC100,1024.61,1023.66,1025.56,792,2.1018
60,DIFC100,1029.34,1028.42,1030.26,1503,1.8799
61,DIFC100,1021.62,1020.73,1022.51,1923,1.8847
62,DIFC100,1023.94,1023.05,1024.83,1642,1.5962
63,DIFC100,1014.38,1013.53,1015.23,1391,1.8482
64,DIFC100,1011.78,1010.9,1012.66,1248,1.5647
65,DIFC100,1008.46,1007.62,1009.3,1454,1.3632
66,DIFC100,1009.08,1008.27,1009.89,1368,1.1435
67,DIFC100,1004.1,1003.32,1004.88,937,1.108
68,DIFC100,996.08,995.31,996.85,891,1.3187
69,DIFC100,988.24,987.43,989.05,1283,1.4767
70,DIFC100,978.42,977.59,979.25,521,1.8247
71,DIFC100,989.8,988.92,990.68,901,2.2578
72,DIFC100,981.32,980.38,982.26,511,2.2979
73,DIFC100,984.8,983.86,985.74,1700,1.9535
74,DIFC100,983.81,982.91,984.71,1255,1.6208
75,DIFC100,986.6,985.75,987.45,1019,1.3881
76,DIFC100,985.78,984.96,986.6,1059,1.1659
77,DIFC100,985.9,985.12,986.68,568,0.9827
78,DIFC100,981.77,981.02,982.52,1315,0.9458
79,DIFC100,976.39,975.65,977.13,589,0.9923
80,DIFC100,984.4,983.65,985.15,1061,1.2063
81,DIFC100,984.32,983.53,985.11,1780,1.0154
82,DIFC100,990.63,989.88,991.38,562,1.0889
83,DIFC100,993.11,992.34,993.88,1970,0.9555
84,DIFC100,1008.25,1007.51,1008.99,1794,2.1764
85,DIFC100,997.04,996.11,997.97,1430,2.5339
86,DIFC100,988.07,987.1,989.04,1826,2.5629
87,DIFC100,988.74,987.76,989.72,1617,2.1022
88,DIFC100,989.57,988.65,990.49,559,1.7348
89,DIFC100,987.95,987.08,988.82,1755,1.4556
90,DIFC100,990.81,989.98,991.64,862,1.2595
91,DIFC100,988.91,988.11,989.71,769,1.0815
