timestamp,asset,mid_price,bid,ask,volume,fair_value_hint
0,DUNE_ENERGY,99.88,99.72,100.07,268,99.78
1,DUNE_ENERGY,100.66,100.56,100.75,88,99.78
2,DUNE_ENERGY,100.36,100.24,100.52,209,99.78
3,DUNE_ENERGY,99.7,99.51,99.83,187,99.78
4,DUNE_ENERGY,98.8,98.66,99.02,287,99.78
5,DUNE_ENERGY,99.56,99.35,99.74,151,99.78
6,DUNE_ENERGY,100.11,100.03,100.36,166,99.78
7,DUNE_ENERGY,100.56,100.44,100.68,147,99.78
8,DUNE_ENERGY,100.92,100.8,100.99,217,99.78
9,DUNE_ENERGY,101.79,101.72,101.98,240,99.78
10,DUNE_ENERGY,101.87,101.65,101.95,227,99.78
11,DUNE_ENERGY,101.78,101.65,101.88,100,99.78
12,DUNE_ENERGY,100.74,100.65,100.81,177,99.78
13,DUNE_ENERGY,100.52,100.44,100.64,133,99.78
14,DUNE_ENERGY,100.89,100.7,100.97,254,99.78
15,DUNE_ENERGY,100.31,100.11,100.5,121,99.78
16,DUNE_ENERGY,101.12,100.93,101.28,243,99.78
17,DUNE_ENERGY,100.86,100.68,100.97,94,99.78
18,DUNE_ENERGY,101.69,101.54,101.85,160,99.78
19,DUNE_ENERGY,101.35,101.21,101.56,263,99.78
20,DUNE_ENERGY,100.83,100.65,101.05,181,99.78
21,DUNE_ENERGY,101.39,101.19,101.56,270,99.78
22,DUNE_ENERGY,101.52,101.33,101.66,229,99.78
23,DUNE_ENERGY,100.66,100.54,100.7,115,99.78
24,DUNE_ENERGY,102.17,102.0,102.32,92,99.78
25,DUNE_ENERGY,102.2,102.03,102.39,232,99.78
26,DUNE_ENERGY,102.77,102.67,102.94,199,99.78
27,DUNE_ENERGY,100.96,100.79,101.11,264,99.78
28,DUNE_ENERGY,100.8,100.73,101.02,272,99.78
29,DUNE_ENERGY,100.62,100.54,100.81,196,99.78
30,DUNE_ENERGY,100.97,100.9,101.12,264,99.78
31,DUNE_ENERGY,100.82,100.73,101.02,240,99.78
32,DUNE_ENERGY,101.93,101.76,102.15,235,99.78
33,DUNE_ENERGY,101.94,101.84,102.16,215,99.78
34,DUNE_ENERGY,103.03,102.94,103.15,205,99.78
35,DUNE_ENERGY,104.14,104.0,104.36,158,99.78
36,DUNE_ENERGY,103.01,102.86,103.2,225,99.78
37,DUNE_ENERGY,102.99,102.83,103.12,274,99.78
38,DUNE_ENERGY,102.75,102.57,102.89,248,99.78
39,DUNE_ENERGY,101.77,101.63,101.91,188,99.78
40,DUNE_ENERGY,102.82,102.78,102.94,273,99.78
41,DUNE_ENERGY,102.53,102.35,102.62,246,99.78
42,DUNE_ENERGY,104.12,103.89,104.35,195,99.78
43,DUNE_ENERGY,104.08,103.95,104.19,138,99.78
44,DUNE_ENERGY,104.42,104.26,104.57,261,99.78
45,DUNE_ENERGY,103.76,103.58,103.99,98,99.78
46,DUNE_ENERGY,102.77,102.58,102.92,204,99.78
47,DUNE_ENERGY,102.6,102.48,102.81,201,99.78
48,DUNE_ENERGY,102.07,101.92,102.28,184,99.78
49,DUNE_ENERGY,101.99,101.86,102.09,199,99.78
50,DUNE_ENERGY,102.08,101.94,102.22,247,99.78
51,DUNE_ENERGY,102.16,102.01,102.27,300,99.78
52,DUNE_ENERGY,102.29,102.17,102.46,217,99.78
53,DUNE_ENERGY,101.49,101.36,101.63,99,99.78
54,DUNE_ENERGY,101.8,101.56,101.98,220,99.78
55,DUNE_ENERGY,102.35,102.24,102.49,103,99.78
56,DUNE_ENERGY,102.12,102.06,102.23,122,99.78
57,DUNE_ENERGY,101.36,101.24,101.58,122,99.78
58,DUNE_ENERGY,100.26,100.0,100.51,147,99.78
59,DUNE_ENERGY,101.17,100.98,101.3,267,99.78
60,DUNE_ENERGY,101.96,101.87,102.11,263,99.78
61,DUNE_ENERGY,101.4,101.25,101.55,268,99.78
62,DUNE_ENERGY,101.47,101.24,101.6,94,99.78
63,DUNE_ENERGY,101.99,101.86,102.19,94,99.78
64,DUNE_ENERGY,101.45,101.32,101.6,127,99.78
65,DUNE_ENERGY,101.52,101.38,101.7,225,99.78
66,DUNE_ENERGY,100.92,100.77,101.14,238,99.78
67,DUNE_ENERGY,101.59,101.48,101.7,146,99.78
68,DUNE_ENERGY,101.24,101.11,101.47,141,99.78
69,DUNE_ENERGY,101.09,100.97,101.21,272,99.78
70,DUNE_ENERGY,100.46,100.32,100.61,239,99.78
71,DUNE_ENERGY,102.41,102.26,102.59,147,99.78
72,DUNE_ENERGY,102.38,102.26,102.56,97,99.78
73,DUNE_ENERGY,102.59,102.41,102.79,260,99.78
74,DUNE_ENERGY,103.32,103.12,103.61,286,99.78
75,DUNE_ENERGY,102.99,102.83,103.16,249,99.78
76,DUNE_ENERGY,102.27,102.2,102.48,147,99.78
77,DUNE_ENERGY,102.29,102.16,102.4,234,99.78
78,DUNE_ENERGY,101.93,101.79,102.12,255,99.78
79,DUNE_ENERGY,101.45,101.27,101.49,296,99.78
80,DUNE_ENERGY,101.41,101.33,101.58,292,99.78
81,DUNE_ENERGY,101.27,101.12,101.43,147,99.78
82,DUNE_ENERGY,100.3,100.18,100.5,260,99.78
83,DUNE_ENERGY,100.19,100.04,100.43,118,99.78
84,DUNE_ENERGY,100.72,100.48,100.84,229,99.78
85,DUNE_ENERGY,100.04,99.87,100.24,283,99.78
86,DUNE_ENERGY,100.17,100.03,100.32,171,99.78
87,DUNE_ENERGY,100.25,100.14,100.47,184,99.78
88,DUNE_ENERGY,100.84,100.77,100.98,140,99.78
89,DUNE_ENERGY,101.84,101.59,102.03,86,99.78
90,DUNE_ENERGY,100.53,100.43,100.78,280,99.78
91,DUNE_ENERGY,101.45,101.26,101.66,148,99.78
92,DUNE_ENERGY,100.49,100.38,100.71,177,99.78
93,DUNE_ENERGY,101.26,101.04,101.43,197,99.78
94,DUNE_ENERGY,102.23,102.03,102.46,138,99.78
95,DUNE_ENERGY,102.18,102.1,102.3,97,99.78
96,DUNE_ENERGY,102.28,102.17,102.42,244,99.78
97,DUNE_ENERGY,101.17,101.02,101.34,87,99.78
98,DUNE_ENERGY,100.62,100.57,100.86,125,99.78
99,DUNE_ENERGY,99.05,98.83,99.27,168,99.78
100,DUNE_ENERGY,99.07,98.88,99.17,178,100.27
101,DUNE_ENERGY,98.72,98.6,98.85,91,100.27
102,DUNE_ENERGY,98.84,98.69,99.05,264,100.27
103,DUNE_ENERGY,98.62,98.55,98.74,130,100.27
104,DUNE_ENERGY,98.6,98.46,98.73,160,100.27
105,DUNE_ENERGY,98.27,98.11,98.4,156,100.27
106,DUNE_ENERGY,97.54,97.39,97.65,221,100.27
107,DUNE_ENERGY,98.58,98.47,98.77,177,100.27
108,DUNE_ENERGY,98.15,97.9,98.27,220,100.27
109,DUNE_ENERGY,97.98,97.85,98.09,133,100.27
110,DUNE_ENERGY,97.45,97.33,97.57,193,100.27
111,DUNE_ENERGY,97.12,96.94,97.22,283,100.27
112,DUNE_ENERGY,98.24,98.04,98.4,211,100.27
113,DUNE_ENERGY,98.62,98.43,98.71,103,100.27
114,DUNE_ENERGY,99.17,98.94,99.3,130,100.27
115,DUNE_ENERGY,98.88,98.74,99.04,201,100.27
116,DUNE_ENERGY,98.21,98.0,98.26,227,100.27
117,DUNE_ENERGY,98.72,98.6,98.94,206,100.27
118,DUNE_ENERGY,98.57,98.44,98.68,300,100.27
119,DUNE_ENERGY,97.53,97.38,97.66,188,100.27
120,DUNE_ENERGY,97.96,97.9,98.09,222,100.27
121,DUNE_ENERGY,97.51,97.36,97.76,196,100.27
122,DUNE_ENERGY,98.18,98.07,98.27,161,100.27
123,DUNE_ENERGY,98.2,98.15,98.32,236,100.27
124,DUNE_ENERGY,98.87,98.62,98.92,194,100.27
125,DUNE_ENERGY,99.56,99.48,99.66,201,100.27
126,DUNE_ENERGY,98.66,98.54,98.83,279,100.27
127,DUNE_ENERGY,98.38,98.16,98.52,150,100.27
128,DUNE_ENERGY,97.65,97.53,97.8,218,100.27
129,DUNE_ENERGY,98.4,98.28,98.56,178,100.27
130,DUNE_ENERGY,98.23,98.01,98.43,218,100.27
131,DUNE_ENERGY,98.63,98.46,98.78,293,100.27
132,DUNE_ENERGY,97.62,97.52,97.7,299,100.27
133,DUNE_ENERGY,97.37,97.27,97.48,202,100.27
134,DUNE_ENERGY,98.16,98.01,98.31,293,100.27
135,DUNE_ENERGY,97.15,96.93,97.34,219,100.27
136,DUNE_ENERGY,97.79,97.54,97.9,204,100.27
137,DUNE_ENERGY,98.03,97.92,98.19,253,100.27
138,DUNE_ENERGY,98.49,98.26,98.7,239,100.27
139,DUNE_ENERGY,97.5,97.24,97.63,231,100.27
140,DUNE_ENERGY,97.59,97.44,97.72,198,100.27
141,DUNE_ENERGY,97.55,97.42,97.74,163,100.27
142,DUNE_ENERGY,97.9,97.79,98.05,272,100.27
143,DUNE_ENERGY,97.5,97.4,97.63,293,100.27
144,DUNE_ENERGY,97.83,97.68,97.77,169,100.27
145,DUNE_ENERGY,97.39,97.24,97.56,246,100.27
146,DUNE_ENERGY,97.76,97.61,97.91,239,100.27
147,DUNE_ENERGY,99.11,98.97,99.28,251,100.27
148,DUNE_ENERGY,100.3,100.23,100.41,174,100.27
149,DUNE_ENERGY,100.4,100.28,100.61,271,100.27
150,DUNE_ENERGY,100.18,99.94,100.35,228,100.27
151,DUNE_ENERGY,100.63,100.52,100.79,253,100.27
152,DUNE_ENERGY,101.09,100.91,101.27,231,100.27
153,DUNE_ENERGY,100.88,100.7,100.96,106,100.27
154,DUNE_ENERGY,100.67,100.48,100.78,283,100.27
155,DUNE_ENERGY,99.64,99.58,99.78,168,100.27
156,DUNE_ENERGY,98.82,98.65,99.04,83,100.27
157,DUNE_ENERGY,99.3,99.2,99.37,107,100.27
158,DUNE_ENERGY,98.86,98.73,99.05,119,100.27
159,DUNE_ENERGY,98.55,98.33,98.73,246,100.27
160,DUNE_ENERGY,98.55,98.49,98.64,191,100.27
161,DUNE_ENERGY,98.53,98.41,98.62,162,100.27
162,DUNE_ENERGY,99.34,99.11,99.58,142,100.27
163,DUNE_ENERGY,100.06,99.91,100.15,251,100.27
164,DUNE_ENERGY,99.97,99.83,100.14,134,100.27
165,DUNE_ENERGY,99.69,99.52,99.87,151,100.27
166,DUNE_ENERGY,100.41,100.21,100.56,128,100.27
167,DUNE_ENERGY,100.49,100.41,100.68,205,100.27
168,DUNE_ENERGY,100.05,99.89,100.12,194,100.27
169,DUNE_ENERGY,100.21,100.07,100.34,136,100.27
170,DUNE_ENERGY,99.84,99.71,99.97,221,100.27
171,DUNE_ENERGY,99.38,99.18,99.52,270,100.27
172,DUNE_ENERGY,98.92,98.76,99.03,139,100.27
173,DUNE_ENERGY,99.18,99.05,99.35,110,100.27
174,DUNE_ENERGY,99.2,98.93,99.34,269,100.27
175,DUNE_ENERGY,98.92,98.69,99.08,274,100.27
176,DUNE_ENERGY,98.54,98.38,98.72,138,100.27
177,DUNE_ENERGY,98.91,98.73,99.09,261,100.27
178,DUNE_ENERGY,98.55,98.39,98.76,258,100.27
179,DUNE_ENERGY,98.57,98.49,98.7,272,100.27
180,DUNE_ENERGY,97.49,97.35,97.59,192,100.27
181,DUNE_ENERGY,97.41,97.19,97.67,144,100.27
182,DUNE_ENERGY,98.27,98.1,98.44,98,100.27
183,DUNE_ENERGY,97.89,97.67,98.0,118,100.27
184,DUNE_ENERGY,98.53,98.43,98.63,110,100.27
185,DUNE_ENERGY,100.48,100.28,100.61,232,100.27
186,DUNE_ENERGY,100.57,100.39,100.67,193,100.27
187,DUNE_ENERGY,100.45,100.28,100.66,189,100.27
188,DUNE_ENERGY,100.15,100.07,100.24,275,100.27
189,DUNE_ENERGY,99.54,99.4,99.72,249,100.27
190,DUNE_ENERGY,99.98,99.85,100.1,184,100.27
191,DUNE_ENERGY,99.89,99.68,100.06,154,100.27
192,DUNE_ENERGY,100.41,100.27,100.54,98,100.27
193,DUNE_ENERGY,101.56,101.37,101.61,281,100.27
194,DUNE_ENERGY,101.66,101.45,101.82,109,100.27
195,DUNE_ENERGY,101.17,100.95,101.3,148,100.27
196,DUNE_ENERGY,101.21,101.04,101.38,271,100.27
197,DUNE_ENERGY,101.58,101.48,101.63,192,100.27
198,DUNE_ENERGY,102.12,102.02,102.23,208,100.27
199,DUNE_ENERGY,100.61,100.41,100.75,233,100.27
200,DUNE_ENERGY,100.86,100.69,101.04,103,101.81
201,DUNE_ENERGY,101.06,100.98,101.25,85,101.81
202,DUNE_ENERGY,100.51,100.43,100.66,148,101.81
203,DUNE_ENERGY,99.71,99.52,99.89,193,101.81
204,DUNE_ENERGY,100.52,100.4,100.65,229,101.81
205,DUNE_ENERGY,99.61,99.5,99.82,184,101.81
206,DUNE_ENERGY,99.66,99.47,99.87,299,101.81
207,DUNE_ENERGY,100.16,100.05,100.24,182,101.81
208,DUNE_ENERGY,100.32,100.19,100.41,196,101.81
209,DUNE_ENERGY,100.82,100.69,101.03,211,101.81
210,DUNE_ENERGY,101.59,101.44,101.74,218,101.81
211,DUNE_ENERGY,101.41,101.26,101.49,207,101.81
212,DUNE_ENERGY,101.35,101.14,101.44,132,101.81
213,DUNE_ENERGY,101.35,101.23,101.48,204,101.81
214,DUNE_ENERGY,102.59,102.54,102.83,235,101.81
215,DUNE_ENERGY,102.82,102.6,102.97,184,101.81
216,DUNE_ENERGY,102.83,102.81,103.07,109,101.81
217,DUNE_ENERGY,102.46,102.32,102.64,263,101.81
218,DUNE_ENERGY,101.79,101.62,102.02,186,101.81
219,DUNE_ENERGY,102.65,102.38,102.8,178,101.81
220,DUNE_ENERGY,103.34,103.21,103.55,271,101.81
221,DUNE_ENERGY,104.09,103.87,104.23,186,101.81
222,DUNE_ENERGY,104.95,104.75,105.17,148,101.81
223,DUNE_ENERGY,104.91,104.72,105.04,248,101.81
224,DUNE_ENERGY,105.42,105.24,105.57,217,101.81
225,DUNE_ENERGY,104.6,104.45,104.75,162,101.81
226,DUNE_ENERGY,103.79,103.74,103.84,141,101.81
227,DUNE_ENERGY,103.24,103.07,103.39,270,101.81
228,DUNE_ENERGY,102.95,102.69,103.12,177,101.81
229,DUNE_ENERGY,102.19,102.09,102.4,206,101.81
230,DUNE_ENERGY,100.63,100.51,100.77,231,101.81
231,DUNE_ENERGY,100.59,100.46,100.75,196,101.81
232,DUNE_ENERGY,100.46,100.34,100.61,247,101.81
233,DUNE_ENERGY,100.8,100.65,100.96,239,101.81
234,DUNE_ENERGY,100.42,100.24,100.5,298,101.81
235,DUNE_ENERGY,100.11,100.03,100.14,240,101.81
236,DUNE_ENERGY,99.93,99.76,100.0,218,101.81
237,DUNE_ENERGY,100.3,100.15,100.37,138,101.81
238,DUNE_ENERGY,99.43,99.28,99.53,105,101.81
239,DUNE_ENERGY,99.68,99.45,99.85,156,101.81
240,DUNE_ENERGY,100.07,99.93,100.21,283,101.81
241,DUNE_ENERGY,100.74,100.61,100.86,185,101.81
242,DUNE_ENERGY,101.01,100.78,101.12,123,101.81
243,DUNE_ENERGY,101.45,101.36,101.54,207,101.81
244,DUNE_ENERGY,102.09,101.96,102.23,198,101.81
245,DUNE_ENERGY,101.64,101.45,101.74,199,101.81
