timestamp,asset,mid_price,bid,ask,volume,fair_value_hint
0,ORBIT_LOGISTICS,149.98,149.88,150.08,541,150.0
1,ORBIT_LOGISTICS,149.85,149.75,149.95,895,150.07
2,ORBIT_LOGISTICS,149.82,149.72,149.92,846,150.21
3,ORBIT_LOGISTICS,150.48,150.38,150.58,539,150.65
4,ORBIT_LOGISTICS,150.0,149.9,150.1,886,150.09
5,ORBIT_LOGISTICS,150.4,150.3,150.5,443,150.27
6,ORBIT_LOGISTICS,150.54,150.44,150.64,553,150.6
7,ORBIT_LOGISTICS,150.08,149.98,150.18,407,150.32
8,ORBIT_LOGISTICS,150.97,150.87,151.07,669,151.09
9,ORBIT_LOGISTICS,152.17,152.07,152.27,765,151.93
10,ORBIT_LOGISTICS,152.42,152.32,152.52,721,152.17
11,ORBIT_LOGISTICS,152.34,152.24,152.44,383,152.15
12,ORBIT_LOGISTICS,151.33,151.23,151.43,433,151.16
13,ORBIT_LOGISTICS,151.73,151.63,151.83,787,151.62
14,ORBIT_LOGISTICS,151.29,151.19,151.39,838,151.27
15,ORBIT_LOGISTICS,151.35,151.25,151.45,712,151.28
16,ORBIT_LOGISTICS,153.41,153.31,153.51,704,153.62
17,ORBIT_LOGISTICS,153.39,153.29,153.49,570,153.52
18,ORBIT_LOGISTICS,154.96,154.86,155.06,750,155.21
19,ORBIT_LOGISTICS,154.57,154.47,154.67,801,154.72
20,ORBIT_LOGISTICS,154.2,154.1,154.3,466,154.23
21,ORBIT_LOGISTICS,154.69,154.59,154.79,447,154.89
22,ORBIT_LOGISTICS,155.6,155.5,155.7,768,155.83
23,ORBIT_LOGISTICS,156.46,156.36,156.56,432,156.47
24,ORBIT_LOGISTICS,157.84,157.74,157.94,841,157.61
25,ORBIT_LOGISTICS,157.99,157.89,158.09,420,158.03
26,ORBIT_LOGISTICS,158.86,158.76,158.96,333,158.93
27,ORBIT_LOGISTICS,158.46,158.36,158.56,460,158.67
28,ORBIT_LOGISTICS,159.24,159.14,159.34,421,159.06
29,ORBIT_LOGISTICS,159.54,159.44,159.64,718,159.61
30,ORBIT_LOGISTICS,160.14,160.04,160.24,596,159.99
31,ORBIT_LOGISTICS,160.75,160.65,160.85,341,160.62
